Y,DOY,H,M,TIMESTAMP,RECORD,T1,T2,T3,T4,SBT1,SBT2,SBT3,SBT4
2015,131,9,50,5/11/15 9:50,11,2.230774,2.660797,2.710205,3.041595,0.9226685,1.497864,0.9991455,1.241882
2015,131,9,55,5/11/15 9:55,12,2.425885,3.016284,2.801929,2.869803,1.071686,1.678934,1.144501,1.405994
2015,131,10,0,5/11/15 10:00,13,2.482291,2.878857,2.916568,2.829059,1.340448,1.93721,1.441656,1.642789
2015,131,10,5,5/11/15 10:05,14,1.939481,2.366846,2.306372,2.279819,1.396909,2.013394,1.52886,1.703354
2015,131,10,10,5/11/15 10:10,15,1.988708,2.262698,2.136606,2.181711,1.185287,1.931103,1.290036,1.544968
2015,131,10,15,5/11/15 10:15,16,1.823825,2.080563,1.99527,2.138474,1.12175,1.834372,1.223062,1.430078
2015,131,10,20,5/11/15 10:20,17,2.022022,2.338461,2.228702,2.373142,1.096213,1.74505,1.191986,1.385272
2015,131,10,25,5/11/15 10:25,18,2.112,2.497098,2.359097,2.336847,1.204886,1.81023,1.292487,1.458212
2015,131,10,30,5/11/15 10:30,19,2.216196,2.490448,2.439163,2.503836,1.306845,1.856296,1.390234,1.531036
2015,131,10,35,5/11/15 10:35,20,1.995081,2.313577,2.152097,2.310739,1.340985,1.850977,1.443515,1.544864
2015,131,10,40,5/11/15 10:40,21,1.902918,2.293063,2.095941,2.088748,1.307135,1.844305,1.388812,1.531592
2015,131,10,45,5/11/15 10:45,22,1.804581,2.138617,1.934759,1.959695,1.311893,1.824115,1.395813,1.533579
2015,131,10,50,5/11/15 10:50,23,1.561972,1.801059,1.616019,1.681537,1.210919,1.707486,1.295883,1.417792
2015,131,10,55,5/11/15 10:55,24,1.676678,2.060678,1.891803,1.957681,1.115039,1.590695,1.196432,1.331134
2015,131,11,0,5/11/15 11:00,25,1.991272,2.293646,2.250189,2.229358,1.212189,1.632068,1.304669,1.427115
2015,131,11,5,5/11/15 11:05,26,1.875952,2.224222,2.080392,1.99032,1.315924,1.722653,1.417654,1.508176
2015,131,11,10,5/11/15 11:10,27,1.903494,2.105841,2.084964,2.072537,1.379086,1.740045,1.482535,1.537436
2015,131,11,15,5/11/15 11:15,28,1.884717,2.27431,2.106268,2.135925,1.414026,1.767337,1.49913,1.569336
2015,131,11,20,5/11/15 11:20,29,1.812613,2.169196,2.083011,2.009793,1.442679,1.801028,1.519614,1.592465
2015,131,11,25,5/11/15 11:25,30,1.583737,1.86297,1.712955,1.768576,1.317291,1.710156,1.406219,1.490411
2015,131,11,30,5/11/15 11:30,31,1.438675,1.773386,1.564029,1.462039,1.230267,1.598541,1.325119,1.368924
2015,131,11,35,5/11/15 11:35,32,1.376065,1.629648,1.457877,1.467862,1.118109,1.475122,1.202399,1.21163
2015,131,11,40,5/11/15 11:40,33,1.368356,1.614963,1.471747,1.47626,1.058267,1.372116,1.138205,1.135297
2015,131,11,45,5/11/15 11:45,34,1.434317,1.69678,1.631277,1.648331,1.054971,1.32858,1.136096,1.130029
2015,131,11,50,5/11/15 11:50,35,1.566211,1.819736,1.814383,1.787845,1.120007,1.37225,1.201523,1.20628
2015,131,11,55,5/11/15 11:55,36,1.629413,1.896881,1.810315,1.788907,1.208344,1.43396,1.28327,1.285516
2015,131,12,0,5/11/15 12:00,37,1.64613,1.879153,1.804752,1.799841,1.295758,1.48761,1.375449,1.368323
2015,131,12,5,5/11/15 12:05,38,1.596878,1.815253,1.70405,1.747733,1.331924,1.51283,1.421112,1.410297
2015,131,12,10,5/11/15 12:10,39,1.600449,1.772665,1.677435,1.715158,1.346039,1.524841,1.439062,1.422046
2015,131,12,15,5/11/15 12:15,40,1.639297,1.846915,1.68222,1.645844,1.349866,1.521414,1.437482,1.419272
2015,131,12,20,5/11/15 12:20,41,1.420609,1.646521,1.461288,1.471811,1.314703,1.498114,1.403238,1.386478
2015,131,12,25,5/11/15 12:25,42,1.133606,1.407928,1.259985,1.257086,1.148425,1.397119,1.248688,1.248422
2015,131,12,30,5/11/15 12:30,43,1.173544,1.341846,1.178268,1.178625,1.016153,1.268912,1.111392,1.10361
2015,131,12,35,5/11/15 12:35,44,1.099005,1.272269,1.112347,1.131128,0.9556793,1.175702,1.044052,1.026114
2015,131,12,40,5/11/15 12:40,45,1.011462,1.196558,1.054889,1.067392,0.8716248,1.076337,0.9588196,0.9395539
2015,131,12,45,5/11/15 12:45,46,0.8202789,1.026099,0.9437591,0.9636322,0.7594116,0.9626557,0.8567383,0.8289154
2015,131,12,50,5/11/15 12:50,47,0.9404266,1.069815,1.053268,1.080936,0.761615,0.9014252,0.8486664,0.8063263
2015,131,12,55,5/11/15 12:55,48,0.9815216,1.16366,1.074115,1.100204,0.7805786,0.8833221,0.8694733,0.8223938
2015,131,13,0,5/11/15 13:00,49,0.9946136,1.173145,1.066046,1.09519,0.7952759,0.8750733,0.8845673,0.8372192
2015,131,13,5,5/11/15 13:05,50,0.9740814,1.114401,0.9931213,1.01521,0.8049988,0.8742431,0.8956116,0.8533996
2015,131,13,10,5/11/15 13:10,51,0.8924774,1.045609,0.9462005,0.9753205,0.774173,0.8464447,0.8671509,0.8207245
2015,131,13,15,5/11/15 13:15,52,0.8547608,1.030872,0.924762,0.942749,0.7585999,0.8201874,0.8465668,0.8009308
2015,131,13,20,5/11/15 13:20,53,0.8394348,1.010574,0.8986786,0.9389282,0.7433106,0.801474,0.8405151,0.8010834
2015,131,13,25,5/11/15 13:25,54,0.8424347,1.026236,0.8987549,0.9350494,0.7218109,0.7847137,0.831012,0.8035706
2015,131,13,30,5/11/15 13:30,55,0.8885345,1.048785,0.9283935,0.9545624,0.7220917,0.7748505,0.8326203,0.8087494
2015,131,13,35,5/11/15 13:35,56,0.8532837,1.025073,0.9267914,0.9624695,0.7277344,0.7750763,0.8430054,0.8150421
2015,131,13,40,5/11/15 13:40,57,0.8269256,0.9930328,0.9104339,0.9421295,0.7234863,0.7770264,0.8474609,0.8217407
2015,131,13,45,5/11/15 13:45,58,0.84375,1.000659,0.9403351,0.9695984,0.7214935,0.7738495,0.8453369,0.8126312
2015,131,13,50,5/11/15 13:50,59,0.8149933,0.9691162,0.8911591,0.9127289,0.720578,0.7685882,0.8394104,0.8027436
2015,131,13,55,5/11/15 13:55,60,0.8581451,1.029788,0.9066345,0.9454254,0.7121826,0.7628266,0.8316742,0.7980438
2015,131,14,0,5/11/15 14:00,61,0.8690338,1.019687,0.9215057,0.9636566,0.7197632,0.7627624,0.832132,0.7979767
2015,131,14,5,5/11/15 14:05,62,0.8351532,1.007361,0.9410736,0.9505127,0.7243439,0.7604828,0.8324921,0.7935883
2015,131,14,10,5/11/15 14:10,63,0.7817535,0.8999573,0.8124054,0.8044434,0.7078735,0.7536346,0.8160248,0.7678833
2015,131,14,15,5/11/15 14:15,64,0.5410278,0.6139008,0.4647736,0.5279754,0.62323,0.6955048,0.7336243,0.6791474
2015,131,14,20,5/11/15 14:20,65,0.3997375,0.4798645,0.3456085,0.4212708,0.4906769,0.5766571,0.5997528,0.5458008
2015,131,14,25,5/11/15 14:25,66,0.3345856,0.4043152,0.2952118,0.3711334,0.3766693,0.4728058,0.4950897,0.4130707
2015,131,14,30,5/11/15 14:30,67,0.2862701,0.3317719,0.2718475,0.3484985,0.3105347,0.3920441,0.4197388,0.3411377
2015,131,14,35,5/11/15 14:35,68,0.1961426,0.2352966,0.2173096,0.2848023,0.2616699,0.3183838,0.3597931,0.2975433
2015,131,14,40,5/11/15 14:40,69,0.3099365,0.3852112,0.3679901,0.4190399,0.2743164,0.2735352,0.3665131,0.2848724
2015,131,14,45,5/11/15 14:45,70,0.3885284,0.4889191,0.4405273,0.4909638,0.3133575,0.2818451,0.4132019,0.3112518
2015,131,14,50,5/11/15 14:50,71,0.3979096,0.5082184,0.4690674,0.5353149,0.3546326,0.3072815,0.4536682,0.3395905
2015,131,14,55,5/11/15 14:55,72,0.4668976,0.58927,0.5100769,0.5656494,0.3808594,0.3402344,0.4809601,0.3794037
2015,131,15,0,5/11/15 15:00,73,0.4529938,0.6077393,0.4770935,0.5282288,0.4087219,0.3880188,0.5233276,0.4478851
2015,131,15,5,5/11/15 15:05,74,0.467038,0.627005,0.4872284,0.541687,0.4137177,0.4118744,0.5262207,0.4660797
2015,131,15,10,5/11/15 15:10,75,0.4547547,0.6125031,0.485733,0.5326446,0.4407471,0.4321716,0.5503448,0.4888855
2015,131,15,15,5/11/15 15:15,76,0.4270935,0.5706665,0.4700378,0.5022308,0.4418152,0.4368042,0.5427094,0.4848114
2015,131,15,20,5/11/15 15:20,77,0.469101,0.571109,0.517279,0.5541229,0.4411377,0.4341492,0.5313568,0.475296
2015,131,15,25,5/11/15 15:25,78,0.4088135,0.5401672,0.449295,0.4827148,0.4383331,0.4272583,0.5260376,0.4653687
2015,131,15,30,5/11/15 15:30,79,0.4528015,0.5835479,0.4699616,0.5109497,0.4289764,0.4210632,0.521817,0.4632721
2015,131,15,35,5/11/15 15:35,80,0.4322662,0.5679016,0.4947205,0.540152,0.4232422,0.4224487,0.5176758,0.4597778
