FLAG,TIMESTAMP,RECORD,DECDOY,DOY,H,M,T1,T2,T3,T4,FLAG
,9/21/15 16:30,0,264.6875,264,16,30,21.34151,20.84033,20.48558,20.05927,
,9/21/15 17:00,6,264.7083333,264,17,0,20.86047,20.41527,20.16506,19.59381,
,9/21/15 17:30,12,264.7291667,264,17,30,19.83727,19.58133,19.47841,18.71909,
,9/21/15 18:00,18,264.75,264,18,0,18.91142,18.60316,18.65298,18.02291,
,9/21/15 18:30,24,264.7708333,264,18,30,17.83848,17.67558,17.71168,17.12248,
,9/21/15 19:00,30,264.7916667,264,19,0,16.22268,16.50172,16.36735,15.88261,
,9/21/15 19:30,36,264.8125,264,19,30,15.11384,15.05633,14.99985,14.53745,
,9/21/15 20:00,42,264.8333333,264,20,0,14.9304,14.94577,14.82015,14.36967,
,9/21/15 20:30,48,264.8541667,264,20,30,14.21575,14.37839,14.3116,13.87891,
,9/21/15 21:00,54,264.875,264,21,0,14.3067,14.45681,14.36071,13.89716,
,9/21/15 21:30,60,264.8958333,264,21,30,14.08006,14.13274,14.01707,13.60826,
,9/21/15 22:00,66,264.9166667,264,22,0,13.83228,13.87404,13.76421,13.27904,
,9/21/15 22:30,72,264.9375,264,22,30,13.19499,13.19281,13.1429,12.62028,
,9/21/15 23:00,78,264.9583333,264,23,0,12.89196,12.86043,12.81001,12.41252,
,9/21/15 23:30,84,264.9791667,264,23,30,12.37843,12.46818,12.35718,12.00363,
,9/22/15 0:00,90,265,265,0,0,12.50524,12.45465,12.38231,11.98349,
,9/22/15 0:30,96,265.0208333,265,0,30,12.73659,12.88859,12.79324,12.39347,
,9/22/15 1:00,102,265.0416667,265,1,0,13.09486,12.81286,13.1185,12.47618,
,9/22/15 1:30,108,265.0625,265,1,30,13.93614,14.06214,13.86101,13.46584,
,9/22/15 2:00,114,265.0833333,265,2,0,14.52007,14.48777,14.44644,13.88864,
,9/22/15 2:30,120,265.1041667,265,2,30,14.57279,14.76313,14.50043,14.18416,
,9/22/15 3:00,126,265.125,265,3,0,14.34424,14.46952,14.30829,13.92768,
,9/22/15 3:30,132,265.1458333,265,3,30,14.46308,14.4187,14.40297,13.86918,
,9/22/15 4:00,138,265.1666667,265,4,0,14.56699,14.54621,14.53366,14.00182,
,9/22/15 4:30,144,265.1875,265,4,30,14.44979,14.5043,14.33757,13.96891,
,9/22/15 5:00,150,265.2083333,265,5,0,13.92847,13.97283,13.89906,13.49811,
,9/22/15 5:30,156,265.2291667,265,5,30,13.53619,13.56659,13.45975,13.0695,
,9/22/15 6:00,162,265.25,265,6,0,13.81376,13.91771,13.78965,13.48619,
,9/22/15 6:30,168,265.2708333,265,6,30,13.62291,13.68934,13.56944,13.20127,
,9/22/15 7:00,174,265.2916667,265,7,0,13.60202,13.58658,13.50305,13.36289,
,9/22/15 7:30,180,265.3125,265,7,30,14.6624,14.63995,14.51512,14.55208,
,9/22/15 8:00,186,265.3333333,265,8,0,14.53436,14.56358,14.42807,14.37906,
,9/22/15 8:30,192,265.3541667,265,8,30,15.63541,15.64865,15.51823,15.57598,
,9/22/15 9:00,198,265.375,265,9,0,16.10673,16.09901,16.0063,16.03196,
,9/22/15 9:30,204,265.3958333,265,9,30,15.88828,15.94105,15.85771,15.85138,
,9/22/15 10:00,210,265.4166667,265,10,0,15.40095,15.43557,15.38239,15.38618,
,9/22/15 10:30,216,265.4375,265,10,30,15.05493,15.15051,15.06708,15.05667,
,9/22/15 11:00,222,265.4583333,265,11,0,15.83827,15.71691,15.70548,15.77474,
,9/22/15 11:30,228,265.4791667,265,11,30,15.59407,15.64805,15.51674,15.57441,
,9/22/15 12:00,234,265.5,265,12,0,16.23663,16.27558,16.21701,16.27096,
,9/22/15 12:30,240,265.5208333,265,12,30,16.15616,16.26462,16.19499,16.13574,
,9/22/15 13:00,246,265.5416667,265,13,0,16.51977,16.40934,16.4611,16.36081,
,9/22/15 13:30,252,265.5625,265,13,30,16.28023,16.22604,16.18041,16.13272,
,9/22/15 14:00,258,265.5833333,265,14,0,16.20342,16.20546,16.10707,16.1034,
,9/22/15 14:30,264,265.6041667,265,14,30,18.3995,18.41811,18.1529,18.13398,
,9/22/15 15:00,270,265.625,265,15,0,18.23506,18.14892,18.02755,18.0608,
,9/22/15 15:30,276,265.6458333,265,15,30,18.27952,18.37859,18.1689,18.08684,
,9/22/15 16:00,282,265.6666667,265,16,0,18.74961,18.91958,18.33809,18.07862,
,9/22/15 16:30,288,265.6875,265,16,30,20.19129,19.92205,19.44079,18.72532,
,9/22/15 17:00,294,265.7083333,265,17,0,19.64622,19.03489,18.9546,18.28872,
,9/22/15 17:30,300,265.7291667,265,17,30,19.01567,18.34933,18.58217,18.05615,
,9/22/15 18:00,306,265.75,265,18,0,17.61505,17.32959,17.71328,16.91476,
,9/22/15 18:30,312,265.7708333,265,18,30,15.44635,15.37498,15.55699,15.02085,
,9/22/15 19:00,318,265.7916667,265,19,0,14.95588,14.94539,14.95082,14.45183,
,9/22/15 19:30,324,265.8125,265,19,30,14.63983,14.48816,14.57464,14.01078,
,9/22/15 20:00,330,265.8333333,265,20,0,13.38306,13.32574,13.37634,12.97655,
,9/22/15 20:30,336,265.8541667,265,20,30,12.60876,12.52599,12.60042,12.21249,
,9/22/15 21:00,342,265.875,265,21,0,11.89148,11.77556,11.85873,11.51958,
,9/22/15 21:30,348,265.8958333,265,21,30,11.45372,11.34138,11.32061,10.87412,
,9/22/15 22:00,354,265.9166667,265,22,0,10.96558,10.86347,10.85046,10.53747,
,9/22/15 22:30,360,265.9375,265,22,30,10.97919,10.87344,10.83679,10.43916,
,9/22/15 23:00,366,265.9583333,265,23,0,10.83137,10.59711,10.76224,10.29844,
,9/22/15 23:30,372,265.9791667,265,23,30,10.96879,10.81911,10.873,10.47713,
,9/23/15 0:00,378,266,266,0,0,11.10493,11.01409,11.03748,10.60634,
,9/23/15 0:30,384,266.0208333,266,0,30,10.94468,10.81831,10.82202,10.442,
,9/23/15 1:00,390,266.0416667,266,1,0,10.7984,10.74663,10.77623,10.40585,
,9/23/15 1:30,396,266.0625,266,1,30,10.7099,10.67291,10.66603,10.32483,
,9/23/15 2:00,402,266.0833333,266,2,0,10.51814,10.50014,10.53044,10.18207,
,9/23/15 2:30,408,266.1041667,266,2,30,10.55187,10.5704,10.52567,10.37931,
,9/23/15 3:00,414,266.125,266,3,0,10.42455,10.41353,10.44704,10.21337,
,9/23/15 3:30,420,266.1458333,266,3,30,10.85029,10.80239,10.84325,10.68045,
,9/23/15 4:00,426,266.1666667,266,4,0,11.33163,11.30749,11.31396,11.34942,
,9/23/15 4:30,432,266.1875,266,4,30,11.06985,11.05394,11.04948,11.04599,
,9/23/15 5:00,438,266.2083333,266,5,0,11.46422,11.44779,11.40275,11.45849,
,9/23/15 5:30,444,266.2291667,266,5,30,11.77565,11.74333,11.69049,11.72787,
,9/23/15 6:00,450,266.25,266,6,0,12.21908,12.18606,12.1606,12.15164,
,9/23/15 6:30,456,266.2708333,266,6,30,12.61233,12.54618,12.55916,12.54941,
,9/23/15 7:00,462,266.2916667,266,7,0,13.09015,13.05737,13.02436,13.01758,
,9/23/15 7:30,468,266.3125,266,7,30,13.5848,13.59379,13.53766,13.54711,
,9/23/15 8:00,474,266.3333333,266,8,0,13.86992,13.88841,13.82224,13.85078,
,9/23/15 8:30,480,266.3541667,266,8,30,14.20919,14.22223,14.18648,14.21193,
,9/23/15 9:00,486,266.375,266,9,0,14.62652,14.67265,14.54818,14.61871,
,9/23/15 9:30,492,266.3958333,266,9,30,14.92691,14.96207,14.83278,14.897,
,9/23/15 10:00,498,266.4166667,266,10,0,15.62394,15.74198,15.50094,15.54874,
,9/23/15 10:30,504,266.4375,266,10,30,17.24035,17.45804,17.20719,17.44369,
,9/23/15 11:00,510,266.4583333,266,11,0,16.85568,16.89394,16.71042,16.7757,
,9/23/15 11:30,516,266.4791667,266,11,30,17.97759,18.25852,17.98687,17.87074,
,9/23/15 12:00,522,266.5,266,12,0,18.77711,19.14602,18.69838,18.69324,
,9/23/15 12:30,528,266.5208333,266,12,30,19.78222,20.43345,19.58824,19.62244,
,9/23/15 13:00,534,266.5416667,266,13,0,21.9607,23.25155,21.34574,21.38051,
,9/23/15 13:30,540,266.5625,266,13,30,22.99627,23.919,22.5519,22.1388,
,9/23/15 14:00,546,266.5833333,266,14,0,22.6952,23.61583,22.74288,22.41049,
,9/23/15 14:30,552,266.6041667,266,14,30,23.17516,23.82451,22.63587,22.29966,
,9/23/15 15:00,558,266.625,266,15,0,21.65627,21.67612,21.42728,21.2672,
,9/23/15 15:30,564,266.6458333,266,15,30,21.98119,22.03029,21.74126,21.32678,
,9/23/15 16:00,570,266.6666667,266,16,0,21.64024,21.56609,21.43144,21.11501,
,9/23/15 16:30,576,266.6875,266,16,30,21.03424,20.92466,20.87928,20.61159,
,9/23/15 17:00,582,266.7083333,266,17,0,20.0009,19.91888,19.982,19.7389,
,9/23/15 17:30,588,266.7291667,266,17,30,18.95186,18.97415,18.92942,18.8408,
,9/23/15 18:00,594,266.75,266,18,0,18.29729,18.26687,18.26443,18.12102,
,9/23/15 18:30,600,266.7708333,266,18,30,17.64319,17.69105,17.52783,17.48107,
,9/23/15 19:00,606,266.7916667,266,19,0,16.51323,16.57091,16.4817,16.32108,
,9/23/15 19:30,612,266.8125,266,19,30,16.0589,16.05098,16.01553,15.92598,
,9/23/15 20:00,618,266.8333333,266,20,0,15.97287,15.95257,15.89633,15.76207,
,9/23/15 20:30,624,266.8541667,266,20,30,16.15825,16.12512,16.07033,15.94689,
,9/23/15 21:00,630,266.875,266,21,0,16.18909,16.17903,16.11578,15.95693,
,9/23/15 21:30,636,266.8958333,266,21,30,15.9859,16.00964,15.93247,15.79488,
,9/23/15 22:00,642,266.9166667,266,22,0,15.5514,15.5468,15.51854,15.39044,
,9/23/15 22:30,648,266.9375,266,22,30,15.36763,15.39895,15.22471,15.17275,
,9/23/15 23:00,654,266.9583333,266,23,0,15.17952,15.2143,15.11176,15.05639,
,9/23/15 23:30,660,266.9791667,266,23,30,15.06867,15.09801,15.01024,14.92285,
,9/24/15 0:00,666,267,267,0,0,14.88181,14.90043,14.81874,14.77031,
,9/24/15 0:30,672,267.0208333,267,0,30,14.70404,14.73079,14.64087,14.58378,
,9/24/15 1:00,678,267.0416667,267,1,0,14.34607,14.37337,14.29486,14.22973,
,9/24/15 1:30,684,267.0625,267,1,30,14.20989,14.20824,14.15695,14.11176,
,9/24/15 2:00,690,267.0833333,267,2,0,13.88454,13.85674,13.831,13.80616,
,9/24/15 2:30,696,267.1041667,267,2,30,13.44484,13.45063,13.43525,13.41489,
,9/24/15 3:00,702,267.125,267,3,0,13.35722,13.36426,13.318,13.3089,
,9/24/15 3:30,708,267.1458333,267,3,30,13.00832,13.00724,12.98163,12.97023,
,9/24/15 4:00,714,267.1666667,267,4,0,12.87315,12.8723,12.84341,12.81013,
,9/24/15 4:30,720,267.1875,267,4,30,12.71375,12.73971,12.70147,12.64876,
,9/24/15 5:00,726,267.2083333,267,5,0,12.58716,12.56456,12.57199,12.53071,
,9/24/15 5:30,732,267.2291667,267,5,30,12.50273,12.5031,12.46463,12.43444,
,9/24/15 6:00,738,267.25,267,6,0,12.36448,12.34706,12.29431,12.31569,
,9/24/15 6:30,744,267.2708333,267,6,30,11.99422,11.99662,11.96245,11.98436,
,9/24/15 7:00,750,267.2916667,267,7,0,11.73019,11.70122,11.69666,11.74469,
,9/24/15 7:30,756,267.3125,267,7,30,11.80825,11.79465,11.76291,11.76734,
,9/24/15 8:00,762,267.3333333,267,8,0,12.03267,12.04105,12.01657,11.99893,
,9/24/15 8:30,768,267.3541667,267,8,30,12.19202,12.17653,12.14937,12.12499,
,9/24/15 9:00,774,267.375,267,9,0,12.77242,12.73393,12.74522,12.70811,
,9/24/15 9:30,780,267.3958333,267,9,30,13.60217,13.58053,13.53144,13.46922,
,9/24/15 10:00,786,267.4166667,267,10,0,14.22774,14.20349,14.15973,14.10475,
,9/24/15 10:30,792,267.4375,267,10,30,15.63287,15.64016,15.5511,15.55361,
,9/24/15 11:00,798,267.4583333,267,11,0,16.89263,16.98972,16.83348,16.792,
,9/24/15 11:30,804,267.4791667,267,11,30,18.57486,18.6715,18.41772,18.44666,
,9/24/15 12:00,810,267.5,267,12,0,18.67285,18.80839,18.54311,18.60737,
,9/24/15 12:30,816,267.5208333,267,12,30,19.29081,19.22169,19.10435,18.98054,
,9/24/15 13:00,822,267.5416667,267,13,0,20.58563,20.78405,20.3124,20.41523,
,9/24/15 13:30,828,267.5625,267,13,30,19.23252,19.31243,19.21966,19.13224,
,9/24/15 14:00,834,267.5833333,267,14,0,19.36168,19.37422,19.33147,19.20531,
,9/24/15 14:30,840,267.6041667,267,14,30,19.11911,19.13191,19.06347,18.96527,
,9/24/15 15:00,846,267.625,267,15,0,19.92757,19.74303,19.78833,19.62715,
,9/24/15 15:30,852,267.6458333,267,15,30,19.46627,19.35798,19.29332,19.15012,
,9/24/15 16:00,858,267.6666667,267,16,0,19.37876,19.38025,19.34134,19.17246,
,9/24/15 16:30,864,267.6875,267,16,30,18.75068,18.77058,18.71933,18.6007,
,9/24/15 17:00,870,267.7083333,267,17,0,18.24946,18.30024,18.28316,18.13181,
,9/24/15 17:30,876,267.7291667,267,17,30,17.87638,17.86905,17.8506,17.68129,
,9/24/15 18:00,882,267.75,267,18,0,17.62831,17.61733,17.56742,17.39277,
,9/24/15 18:30,888,267.7708333,267,18,30,17.30475,17.28189,17.22874,17.07963,
,9/24/15 19:00,894,267.7916667,267,19,0,16.78712,16.73783,16.69735,16.4924,
,9/24/15 19:30,900,267.8125,267,19,30,16.22777,16.15205,16.12368,16.01315,
,9/24/15 20:00,906,267.8333333,267,20,0,16.70131,16.60882,16.53809,16.31299,
,9/24/15 20:30,912,267.8541667,267,20,30,16.0515,15.99967,16.0482,15.81497,
,9/24/15 21:00,918,267.875,267,21,0,15.96778,15.91761,15.89656,15.70364,
,9/24/15 21:30,924,267.8958333,267,21,30,15.78022,15.75602,15.73354,15.55984,
,9/24/15 22:00,930,267.9166667,267,22,0,15.95915,15.92804,15.83347,15.6902,
,9/24/15 22:30,936,267.9375,267,22,30,15.7279,15.61554,15.65743,15.43936,
,9/24/15 23:00,942,267.9583333,267,23,0,15.6814,15.59089,15.56928,15.38397,
,9/24/15 23:30,948,267.9791667,267,23,30,15.6235,15.52349,15.50384,15.32491,
,9/25/15 0:00,954,268,268,0,0,15.11754,15.08126,15.13216,14.99727,
,9/25/15 0:30,960,268.0208333,268,0,30,15.23859,15.15763,15.1477,14.98399,
,9/25/15 1:00,966,268.0416667,268,1,0,14.9488,14.91307,14.96799,14.75449,
,9/25/15 1:30,972,268.0625,268,1,30,14.83792,14.74129,14.77768,14.56961,
,9/25/15 2:00,978,268.0833333,268,2,0,14.58661,14.57356,14.5848,14.35105,
,9/25/15 2:30,984,268.1041667,268,2,30,14.43747,14.4001,14.40091,14.19764,
,9/25/15 3:00,990,268.125,268,3,0,13.66723,13.69308,13.73485,13.40808,
,9/25/15 3:30,996,268.1458333,268,3,30,13.46177,13.27619,13.27419,13.02974,
,9/25/15 4:00,1002,268.1666667,268,4,0,13.10313,12.96683,13.14079,12.74854,
,9/25/15 4:30,1008,268.1875,268,4,30,12.71573,12.63285,12.59911,12.26843,
,9/25/15 5:00,1014,268.2083333,268,5,0,12.54508,12.2849,12.28182,12.12613,
,9/25/15 5:30,1020,268.2291667,268,5,30,12.47451,11.98095,12.179,11.82448,
,9/25/15 6:00,1026,268.25,268,6,0,12.23714,11.98372,11.90912,11.95289,
,9/25/15 6:30,1032,268.2708333,268,6,30,12.91402,12.57887,12.50301,12.65392,
,9/25/15 7:00,1038,268.2916667,268,7,0,12.56904,12.35702,12.23141,12.36465,
,9/25/15 7:30,1044,268.3125,268,7,30,13.25278,12.90836,12.89707,12.93029,
,9/25/15 8:00,1050,268.3333333,268,8,0,13.66966,13.26312,13.26468,13.06333,
,9/25/15 8:30,1056,268.3541667,268,8,30,15.13582,14.84642,14.68445,14.50244,
,9/25/15 9:00,1062,268.375,268,9,0,15.78887,15.7811,15.59061,15.5343,
,9/25/15 9:30,1068,268.3958333,268,9,30,16.77979,16.98862,16.67803,16.99565,
,9/25/15 10:00,1074,268.4166667,268,10,0,17.89034,18.64886,17.93228,18.39796,
,9/25/15 10:30,1080,268.4375,268,10,30,19.53616,20.44049,19.60184,19.94267,
,9/25/15 11:00,1086,268.4583333,268,11,0,20.19855,21.72707,20.03237,20.52872,
,9/25/15 11:30,1092,268.4791667,268,11,30,21.03491,22.79911,20.91552,21.27233,
,9/25/15 12:00,1098,268.5,268,12,0,21.79473,23.41187,21.79072,21.7922,
,9/25/15 12:30,1104,268.5208333,268,12,30,22.59406,24.0625,22.32825,22.39352,
,9/25/15 13:00,1110,268.5416667,268,13,0,21.61918,22.71891,21.23208,21.09089,
,9/25/15 13:30,1116,268.5625,268,13,30,23.68432,24.89582,23.12105,22.67381,
,9/25/15 14:00,1122,268.5833333,268,14,0,23.64845,24.80103,22.95105,22.85712,
,9/25/15 14:30,1128,268.6041667,268,14,30,24.60535,25.76191,23.84879,23.60162,
,9/25/15 15:00,1134,268.625,268,15,0,22.20734,22.70445,21.79297,21.27193,
,9/25/15 15:30,1140,268.6458333,268,15,30,23.30549,23.69096,22.72536,21.99,
,9/25/15 16:00,1146,268.6666667,268,16,0,20.86092,20.70465,20.78644,20.45418,
,9/25/15 16:30,1152,268.6875,268,16,30,23.01735,22.98966,22.42098,21.84684,
,9/25/15 17:00,1158,268.7083333,268,17,0,20.84887,20.79416,20.70546,20.18392,
,9/25/15 17:30,1164,268.7291667,268,17,30,19.49706,19.28691,19.46333,19.01816,
,9/25/15 18:00,1170,268.75,268,18,0,18.73083,18.63209,18.73134,18.22196,
,9/25/15 18:30,1176,268.7708333,268,18,30,18.06735,17.78037,18.06607,17.56106,
,9/25/15 19:00,1182,268.7916667,268,19,0,17.3619,17.07532,17.40676,16.84579,
,9/25/15 19:30,1188,268.8125,268,19,30,17.23283,16.84887,17.0781,16.60364,
,9/25/15 20:00,1194,268.8333333,268,20,0,17.0766,16.79519,16.94882,16.35199,
,9/25/15 20:30,1200,268.8541667,268,20,30,16.74188,16.48634,16.57541,16.08619,
,9/25/15 21:00,1206,268.875,268,21,0,16.21964,16.13005,16.14588,15.7059,
,9/25/15 21:30,1212,268.8958333,268,21,30,15.10934,14.95823,15.14047,14.5719,
,9/25/15 22:00,1218,268.9166667,268,22,0,14.908,14.83676,14.88093,14.39498,
,9/25/15 22:30,1224,268.9375,268,22,30,14.84578,14.73836,14.76519,14.32846,
,9/25/15 23:00,1230,268.9583333,268,23,0,14.62509,14.59715,14.5657,14.13038,
,9/25/15 23:30,1236,268.9791667,268,23,30,14.42336,14.40445,14.37089,13.94781,
,9/26/15 0:00,1242,269,269,0,0,14.16243,14.14189,14.15749,13.69568,
,9/26/15 0:30,1248,269.0208333,269,0,30,13.72192,13.61013,13.58701,13.27733,
,9/26/15 1:00,1254,269.0416667,269,1,0,13.80362,13.72581,13.66681,13.33095,
,9/26/15 1:30,1260,269.0625,269,1,30,13.26124,13.11994,13.26084,12.82456,
,9/26/15 2:00,1266,269.0833333,269,2,0,13.1571,13.06187,13.04982,12.59308,
,9/26/15 2:30,1272,269.1041667,269,2,30,12.33597,12.1494,12.13402,11.73905,
,9/26/15 3:00,1278,269.125,269,3,0,12.47581,12.31814,12.37033,11.99423,
,9/26/15 3:30,1284,269.1458333,269,3,30,12.12213,11.7153,11.92126,11.54323,
,9/26/15 4:00,1290,269.1666667,269,4,0,12.02382,11.64901,11.7991,11.51524,
,9/26/15 4:30,1296,269.1875,269,4,30,12.09574,11.68599,11.9407,11.6298,
,9/26/15 5:00,1302,269.2083333,269,5,0,12.17261,11.84025,11.88851,11.74395,
,9/26/15 5:30,1308,269.2291667,269,5,30,11.74428,11.63605,11.4902,11.54399,
,9/26/15 6:00,1314,269.25,269,6,0,11.54511,11.52682,11.32881,11.46475,
,9/26/15 6:30,1320,269.2708333,269,6,30,11.32901,11.37378,11.17666,11.31952,
,9/26/15 7:00,1326,269.2916667,269,7,0,11.15503,11.18364,11.03819,11.14102,
,9/26/15 7:30,1332,269.3125,269,7,30,11.56435,11.57125,11.46642,11.56523,
,9/26/15 8:00,1338,269.3333333,269,8,0,12.27477,12.28971,12.17728,12.27341,
,9/26/15 8:30,1344,269.3541667,269,8,30,13.07447,13.10214,12.90062,13.06282,
,9/26/15 9:00,1350,269.375,269,9,0,13.57452,13.56405,13.5833,13.68768,
,9/26/15 9:30,1356,269.3958333,269,9,30,14.16312,14.11018,14.09178,14.21723,
,9/26/15 10:00,1362,269.4166667,269,10,0,15.23899,15.21829,15.18714,15.21324,
,9/26/15 10:30,1368,269.4375,269,10,30,15.92859,16.0456,15.9022,15.85475,
,9/26/15 11:00,1374,269.4583333,269,11,0,16.3324,16.46937,16.41086,16.5026,
,9/26/15 11:30,1380,269.4791667,269,11,30,17.58458,18.83239,17.37918,17.52938,
,9/26/15 12:00,1386,269.5,269,12,0,18.95234,20.56602,18.79445,18.87492,
,9/26/15 12:30,1392,269.5208333,269,12,30,20.55195,22.22264,20.30765,20.22308,
,9/26/15 13:00,1398,269.5416667,269,13,0,21.14459,22.60564,20.77036,20.56382,
,9/26/15 13:30,1404,269.5625,269,13,30,21.31997,22.43268,20.65804,20.42168,
,9/26/15 14:00,1410,269.5833333,269,14,0,22.97061,24.50949,22.24199,21.98165,
,9/26/15 14:30,1416,269.6041667,269,14,30,21.38098,22.10692,20.95248,20.68138,
,9/26/15 15:00,1422,269.625,269,15,0,20.12229,20.19404,19.99695,19.68271,
,9/26/15 15:30,1428,269.6458333,269,15,30,23.08389,23.07636,22.32831,22.01785,
,9/26/15 16:00,1434,269.6666667,269,16,0,22.27652,22.10576,21.49807,21.03041,
,9/26/15 16:30,1440,269.6875,269,16,30,22.40172,22.07145,21.6537,21.05186,
,9/26/15 17:00,1446,269.7083333,269,17,0,21.46313,21.14717,21.00124,20.41784,
,9/26/15 17:30,1452,269.7291667,269,17,30,20.65068,20.24369,20.34188,19.87305,
,9/26/15 18:00,1458,269.75,269,18,0,19.33662,19.09356,19.15275,18.50691,
,9/26/15 18:30,1464,269.7708333,269,18,30,17.50588,17.42868,17.59335,16.96717,
,9/26/15 19:00,1470,269.7916667,269,19,0,16.15074,16.04861,16.27195,15.61791,
,9/26/15 19:30,1476,269.8125,269,19,30,15.01852,15.02513,15.21354,14.6576,
,9/26/15 20:00,1482,269.8333333,269,20,0,14.35383,14.48841,14.57115,14.03268,
,9/26/15 20:30,1488,269.8541667,269,20,30,14.68305,14.68966,14.67981,14.24539,
,9/26/15 21:00,1494,269.875,269,21,0,14.2976,14.20475,14.21564,13.62282,
,9/26/15 21:30,1500,269.8958333,269,21,30,14.56666,14.41102,14.43033,13.87331,
,9/26/15 22:00,1506,269.9166667,269,22,0,14.82832,14.78145,14.56738,14.10209,
,9/26/15 22:30,1512,269.9375,269,22,30,14.78376,14.81004,14.71463,14.27927,
,9/26/15 23:00,1518,269.9583333,269,23,0,14.63662,14.65035,14.55093,14.15164,
,9/26/15 23:30,1524,269.9791667,269,23,30,13.9808,14.01198,13.91203,13.50218,
,9/27/15 0:00,1530,270,270,0,0,13.68293,13.71388,13.55389,13.12466,
,9/27/15 0:30,1536,270.0208333,270,0,30,13.37562,13.43403,13.30427,12.91716,
,9/27/15 1:00,1542,270.0416667,270,1,0,13.07213,13.15404,13.0655,12.68308,
,9/27/15 1:30,1548,270.0625,270,1,30,12.81053,12.87681,12.73057,12.40275,
,9/27/15 2:00,1554,270.0833333,270,2,0,12.55141,12.56375,12.461,12.13163,
,9/27/15 2:30,1560,270.1041667,270,2,30,12.58104,12.58352,12.45898,12.09009,
,9/27/15 3:00,1566,270.125,270,3,0,12.49845,12.4994,12.38023,12.01869,
,9/27/15 3:30,1572,270.1458333,270,3,30,12.2854,12.26572,12.1319,11.79166,
,9/27/15 4:00,1578,270.1666667,270,4,0,12.12907,12.1335,12.05832,11.72677,
,9/27/15 4:30,1584,270.1875,270,4,30,12.09764,12.11362,11.97179,11.65156,
