TIMESTAMP,DecDOY,DOY,H,M,RECORD,DiffVolt_Avg(1),DiffVolt_Avg(2),DiffVolt_Avg(3),DiffVolt_Avg(4),DiffVolt_Avg(5),DiffVolt_Avg(6),DiffVolt_Avg(7),DiffVolt_Avg(8),DiffVolt_Avg(9),DiffVolt_Avg(10),DiffVolt_Avg(11),DiffVolt_Avg(12),DiffVolt_Avg(13),DiffVolt_Avg(14)
8/31/2018 3:00,243.125,243,3,0,30194,0.3986469,2710.298,0.5218591,0.4264289,0.3112951,0.3338371,0.5587209,0.5012205,0.593187,0.4971038,0.6085194,0.3096517,0.3509512,0.3321827
8/31/2018 3:05,243.128,243,3,5,30195,0.3987175,2710.255,0.521791,0.4264275,0.3112995,0.3337475,0.5583041,0.5008536,0.5930799,0.4970247,0.6085505,0.3094072,0.35095,0.331916
8/31/2018 3:10,243.132,243,3,10,30196,0.3987888,2710.105,0.5212368,0.4263881,0.3113599,0.3336584,0.5573792,0.5006093,0.5927027,0.4968745,0.6085495,0.3093348,0.3508664,0.3315226
8/31/2018 3:15,243.135,243,3,15,30197,0.3988246,2708.951,0.5208861,0.4262746,0.3112347,0.3335665,0.5570452,0.5006624,0.5926235,0.4969994,0.6088522,0.3091542,0.350747,0.3313588
8/31/2018 3:20,243.139,243,3,20,30198,0.3985497,2708.824,0.5209161,0.4262046,0.311142,0.3336233,0.5566328,0.5006038,0.5924159,0.4970349,0.6087554,0.3088679,0.3505936,0.3312441
8/31/2018 3:25,243.142,243,3,25,30199,0.3990072,2708.438,0.5210853,0.4260256,0.3112347,0.3336274,0.5565196,0.5005407,0.5923358,0.4970714,0.608902,0.3087558,0.3504814,0.3310766
8/31/2018 3:30,243.146,243,3,30,30200,0.3987864,2708.264,0.5208924,0.4261037,0.311141,0.3336278,0.5556296,0.5003311,0.5919659,0.4969946,0.6087812,0.3087563,0.3502052,0.3308945
8/31/2018 3:35,243.149,243,3,35,30201,0.3987539,2709.011,0.5207881,0.4260657,0.3110918,0.3336672,0.5548338,0.5000609,0.591729,0.4970398,0.6085997,0.3087457,0.34999,0.3307733
8/31/2018 3:40,243.153,243,3,40,30202,0.399122,2709.578,0.5208123,0.4259798,0.311062,0.3335985,0.5553336,0.5000077,0.5916863,0.4971969,0.6087672,0.3086607,0.3498936,0.330666
8/31/2018 3:45,243.156,243,3,45,30203,0.3993217,2709.371,0.5206304,0.4259472,0.3109573,0.3335602,0.5554228,0.4998092,0.5912721,0.4971422,0.6087125,0.30865,0.3497613,0.3306111
8/31/2018 3:50,243.160,243,3,50,30204,0.3993033,2708.954,0.52044,0.4259011,0.3110057,0.3334869,0.5553042,0.4996742,0.5909873,0.4970792,0.6085052,0.3084771,0.349544,0.3304934
8/31/2018 3:55,243.163,243,3,55,30205,0.3990707,2708.731,0.5200579,0.4258675,0.3110387,0.333398,0.5555251,0.4993529,0.590677,0.4969847,0.607968,0.3082666,0.349516,0.330139
8/31/2018 4:00,243.167,243,4,0,30206,0.3990723,2708.074,0.5195952,0.4259966,0.3109128,0.3333718,0.5554776,0.4994324,0.5904858,0.4969923,0.6084574,0.3081019,0.3494124,0.3299025
8/31/2018 4:05,243.170,243,4,5,30207,0.3990892,2708.156,0.5194074,0.4259747,0.3107359,0.333372,0.5553175,0.4993221,0.5903479,0.4969871,0.6084246,0.3080689,0.3492576,0.3298585
8/31/2018 4:10,243.174,243,4,10,30208,0.3988657,2708.029,0.5188237,0.425978,0.3108449,0.3333205,0.5546838,0.4990317,0.5898135,0.4967521,0.6074088,0.3080617,0.3492226,0.3293809
8/31/2018 4:15,243.177,243,4,15,30209,0.3982347,2708.609,0.518187,0.4257895,0.3109055,0.3332981,0.5541024,0.4988543,0.5894645,0.4963256,0.6066669,0.3079011,0.3490896,0.3289988
8/31/2018 4:20,243.181,243,4,20,30210,0.398063,2708.589,0.5173237,0.425629,0.3107616,0.3330821,0.553654,0.4986881,0.5890051,0.4959769,0.6066778,0.3075026,0.3489843,0.3285007
8/31/2018 4:25,243.184,243,4,25,30211,0.3981964,2708.601,0.5168154,0.4255577,0.3106293,0.3329111,0.5530407,0.4988438,0.5887736,0.495701,0.6070827,0.307409,0.3488134,0.3281471
8/31/2018 4:30,243.188,243,4,30,30212,0.3981213,2707.852,0.5160919,0.4254104,0.3106323,0.3328365,0.5516806,0.4988011,0.5884313,0.4953429,0.6071939,0.3074121,0.3486334,0.3276963
8/31/2018 4:35,243.191,243,4,35,30213,0.3982424,2708.082,0.515903,0.4254152,0.310582,0.3327972,0.5525761,0.4990161,0.5885908,0.4958954,0.60768,0.3071902,0.3483452,0.3275353
8/31/2018 4:40,243.194,243,4,40,30214,0.3982667,2708.165,0.5154908,0.4255117,0.3105782,0.3327106,0.5527839,0.4986592,0.5883783,0.495627,0.6065047,0.3070315,0.348253,0.3271885
8/31/2018 4:45,243.198,243,4,45,30215,0.397701,2709.46,0.5150355,0.4254162,0.3104222,0.3326984,0.5523118,0.498309,0.5880555,0.4949891,0.6053573,0.3068368,0.3482242,0.3269163
8/31/2018 4:50,243.201,243,4,50,30216,0.3974756,2710.717,0.5153195,0.4252573,0.3104234,0.3326498,0.5515835,0.4982942,0.5886663,0.4948803,0.6055034,0.3066277,0.348137,0.326901
8/31/2018 4:55,243.205,243,4,55,30217,0.3972441,2712.616,0.5163223,0.4250259,0.3105569,0.3324569,0.5506884,0.498063,0.5896636,0.4948703,0.6050567,0.3063794,0.3480216,0.3274329
8/31/2018 5:00,243.208,243,5,0,30218,0.3974437,2714.625,0.518049,0.4249433,0.3106291,0.3323355,0.5492336,0.4979749,0.5907873,0.4947988,0.6048193,0.3062192,0.3476235,0.3280307
