"","x","y","tdiff"
"1",141000,1486000,493430614.081111
"2",149000,1486000,42495089.6502826
"3",141000,1478000,-3032545.47835341
"4",149000,1478000,-64429618.6581869
"5",5000,1470000,522685668.97887
"6",141000,1470000,541228254.596197
"7",149000,1470000,155421109.558583
"8",5000,1462000,68062415.8345344
"9",13000,1462000,43732380.6442976
"10",37000,1462000,145513329.864787
"11",45000,1462000,435382520.710709
"12",141000,1462000,-44749592.603458
"13",13000,1454000,245341213.210916
"14",21000,1454000,480165228.286037
"15",29000,1454000,350661174.469037
"16",37000,1454000,185713070.640544
"17",53000,1454000,955672569.941951
"18",77000,1454000,30656956.1302233
"19",85000,1454000,-32420854.0029457
"20",29000,1446000,329185950.20168
"21",85000,1446000,64014268.3013433
"22",93000,1446000,31176677.2708634
"23",101000,1446000,-55372070.0148185
"24",109000,1446000,323349213.506431
"25",13000,1438000,38197793.4525774
"26",21000,1438000,251781421.611982
"27",29000,1438000,19999016.0274459
"28",45000,1438000,90175054.9645315
"29",77000,1438000,337089413.377292
"30",117000,1438000,230976200.154276
"31",133000,1438000,-76870180.1567195
"32",149000,1438000,340491780.111187
"33",13000,1430000,348420962.125454
"34",21000,1430000,-9102874.17772027
"35",29000,1430000,254075621.484743
"36",45000,1430000,44140588.7186144
"37",61000,1430000,263275034.814906
"38",77000,1430000,192446723.117918
"39",85000,1430000,304865606.170065
"40",117000,1430000,149806221.191035
"41",125000,1430000,-6210542.00412297
"42",141000,1430000,304377913.023235
"43",45000,1422000,169413634.11522
"44",69000,1422000,40212985.053222
"45",109000,1422000,132231621.282338
"46",117000,1422000,186010914.003878
"47",125000,1422000,191294400.921973
"48",133000,1422000,167607252.130357
"49",149000,1422000,-27889743.9400773
"50",157000,1422000,-77104938.0407222
"51",165000,1422000,81923650.4534593
"52",13000,1414000,12694152.3599505
"53",29000,1414000,171685823.972366
"54",37000,1414000,150777370.678007
"55",45000,1414000,210696018.992441
"56",93000,1414000,38480297.2975446
"57",101000,1414000,640708066.873459
"58",109000,1414000,-11228748.204213
"59",117000,1414000,352549091.579385
"60",125000,1414000,495233510.528841
"61",133000,1414000,36843285.4964436
"62",141000,1414000,229333084.736412
"63",149000,1414000,488221768.068851
"64",157000,1414000,109302911.790552
"65",37000,1406000,546464726.77741
"66",45000,1406000,263421689.802729
"67",53000,1406000,52486532.5917076
"68",69000,1406000,192730190.443592
"69",77000,1406000,436422423.797852
"70",85000,1406000,-73212683.6625402
"71",93000,1406000,294284050.102529
"72",101000,1406000,356824530.389976
"73",109000,1406000,293183746.106282
"74",117000,1406000,498631419.915237
"75",125000,1406000,-88014380.06008
"76",133000,1406000,-67504097.648053
"77",141000,1406000,23145017.2508782
"78",149000,1406000,-45280048.6678726
"79",157000,1406000,305269831.367618
"80",165000,1406000,-237006848.186492
"81",173000,1406000,114599127.34182
"82",189000,1406000,340628042.209068
"83",21000,1398000,191792107.825892
"84",29000,1398000,2503496.17520859
"85",37000,1398000,202189553.511637
"86",45000,1398000,375433388.071655
"87",53000,1398000,418481666.317383
"88",61000,1398000,386242883.119304
"89",85000,1398000,-25038918.8366402
"90",93000,1398000,320206315.937438
"91",101000,1398000,-80404440.0291872
"92",109000,1398000,145722518.915997
"93",117000,1398000,141534922.952512
"94",125000,1398000,37167098.6255886
"95",133000,1398000,151727050.943487
"96",141000,1398000,218002743.107312
"97",149000,1398000,-81125237.109497
"98",157000,1398000,205489401.180033
"99",165000,1398000,41296457.4505635
"100",173000,1398000,257781193.05198
"101",181000,1398000,-60434298.323003
"102",189000,1398000,327187421.969001
"103",197000,1398000,-132152829.188151
"104",205000,1398000,-122250354.799917
"105",213000,1398000,-114648215.25702
"106",37000,1390000,112566516.735454
"107",45000,1390000,557946073.476477
"108",53000,1390000,84647920.2902272
"109",69000,1390000,315669727.658347
"110",77000,1390000,4391548.45469437
"111",85000,1390000,-7547462.66899864
"112",93000,1390000,134464122.269344
"113",101000,1390000,343359208.602671
"114",109000,1390000,196670650.322064
"115",117000,1390000,24695714.1184441
"116",125000,1390000,346016909.863222
"117",133000,1390000,427434384.720561
"118",141000,1390000,-96202459.6867595
"119",149000,1390000,292832336.34305
"120",157000,1390000,892948453.485642
"121",165000,1390000,1585619726.75438
"122",189000,1390000,-48314440.9389391
"123",197000,1390000,42137913.8742249
"124",205000,1390000,236590520.38911
"125",213000,1390000,-102662817.03909
"126",13000,1382000,273501998.595757
"127",29000,1382000,475922754.104793
"128",69000,1382000,33847100.4827376
"129",77000,1382000,19864845.2050678
"130",93000,1382000,175998813.290419
"131",101000,1382000,419841023.991098
"132",109000,1382000,486429965.016772
"133",117000,1382000,234393298.454362
"134",133000,1382000,39087352.1405757
"135",141000,1382000,-25783095.0218016
"136",149000,1382000,482046092.600631
"137",157000,1382000,69308962.8544875
"138",165000,1382000,522629830.656267
"139",173000,1382000,-222603510.629593
"140",181000,1382000,767798323.619536
"141",189000,1382000,-90495835.0103162
"142",197000,1382000,516135758.757802
"143",221000,1382000,-28645560.4667779
"144",229000,1382000,-541555428.576203
"145",245000,1382000,-417795645.224391
"146",253000,1382000,-550215492.898164
"147",277000,1382000,-121086670.676514
"148",285000,1382000,44583009.5721093
"149",-19000,1374000,101083562.844004
"150",5000,1374000,269038706.92078
"151",21000,1374000,43685670.2828041
"152",29000,1374000,33387850.6696786
"153",37000,1374000,405161232.038576
"154",53000,1374000,156285999.05808
"155",69000,1374000,68565309.2031189
"156",85000,1374000,181488369.759138
"157",101000,1374000,143952661.727382
"158",109000,1374000,19861512.5366581
"159",117000,1374000,411354355.972602
"160",125000,1374000,-17411569.3220341
"161",133000,1374000,-4858573.25240824
"162",141000,1374000,1059386484.70128
"163",149000,1374000,46894674.9311544
"164",173000,1374000,-69469403.4357803
"165",181000,1374000,-31514062.5329341
"166",189000,1374000,-30272276.9558996
"167",197000,1374000,153390735.640343
