"x","y","cell","Alder","Ash","Basswood","Beech","Birch","Black gum","Buckeye","Cedar/juniper","Cherry","Dogwood","Elm","Fir","Hackberry","Hemlock","Hickory","Ironwood","Maple","No tree","Oak","Other hardwood","Pine","Poplar","Spruce","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
141000,1486000,323,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,19,14,0,11,0,0,0,0
149000,1486000,324,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,8,5,0,3,0,0,0,0
157000,1486000,325,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
133000,1478000,618,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
141000,1478000,619,2,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,0,78,0,0,0,0
149000,1478000,620,0,1,0,0,5,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,22,27,0,61,0,0,0,0
157000,1478000,621,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,10,1,0,2,0,0,0,1
-19000,1470000,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,5,0,0,0,0,0,0,1
-11000,1470000,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0
-3000,1470000,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
5000,1470000,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
133000,1470000,914,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,11,0,0,0,2
141000,1470000,915,0,0,0,0,5,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,10,63,0,53,0,0,0,1
149000,1470000,916,0,3,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,0,44,0,0,0,0
157000,1470000,917,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
