"x","y","cell","Alder","Ash","Basswood","Beech","Birch","Black gum","Buckeye","Cedar/juniper","Cherry","Dogwood","Elm","Fir","Hackberry","Hemlock","Hickory","Ironwood","Maple","No tree","Oak","Other hardwood","Pine","Poplar","Spruce","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
141000,1486000,323,0,0,0,0,1.53776299142384,0,0,4.45333584117269,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4254841583965,4.97526282331919,0,6.88857834218486,0,0,0,0
149000,1486000,324,0,0,0,0,6.35263975217103,0,0,4.52744103032288,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6576760134321,89.7932837869996,0,28.0613411005362,0,0,0,0
157000,1486000,325,0,0,0,0,14.8614390978772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8614390978772,0,0,0,0,0,0
133000,1478000,618,0,0,0,0,0,0,0,5.44668897868532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44668897868532,0,0,0,0
141000,1478000,619,0.114977284459515,0,0,0,0.732961774796202,0,0,8.9299942599845,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0807205834538,33.7887996442994,0,73.5926031407529,0,0,0,0
149000,1478000,620,0,0.252578822600545,0,0,7.29909592661914,0,0,22.5834979778434,0,0,0,0.297605416842895,0,0,0,0,0,0,0,0,0,38.4123459138035,55.9194674660921,0,71.9285914358816,0,0,0,0
157000,1478000,621,0,0,0,0,17.5193241195946,0,0,0,0,0,0,2.48715040977306,0,0,0,0,0,0,0,0,1.51066313374814,24.9524952892026,6.82480285205531,0,0.892555880270101,0,0,0,3.45882988057236
-19000,1470000,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28487489093907,0,0,1.11456677229747,0,0,0,0,0,0,0.0388990402975299
-11000,1470000,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3000,1470000,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,1470000,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133000,1470000,914,0,0,0,0,0.858223083333683,0,0,0.838217175038841,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5499688585229,20.2136015056945,0,90.6504554171717,0,0,0,8.02249867373581
141000,1470000,915,0,0,0,0,7.04277122419102,0,0,9.21114506716483,0,0,0,0.78738547532763,0,0,0,0,0,0,0,0,0,4.19717791457817,56.7165987924447,0,58.8160041651039,0,0,0,0.0801580783974832
149000,1470000,916,0,3.79657458666767,0,0,10.288490348908,0,0,15.1832668578751,0,0,0,0,0,0,0,0,0,0,0,0,0,6.63189063907836,37.5256648764652,0,86.6867230974819,0,0,0,0
157000,1470000,917,0,0,0,0,0,0,0,0,61.7288078317933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19000,1462000,1191,0,1.59145216809661,0,0,0,0,0,0,0,0,0.203984478111814,0,0,0,0,0,0,0,1.0638047392462,0,0,0.165370530179016,0,0,0,0,0,0,0
-11000,1462000,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3000,1462000,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,1462000,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04922327419392,0,0,0,0,0,0,0
13000,1462000,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298317296385015,0,0,10.1680554682712,0,0,0,0,0,0,1.06140102065126
21000,1462000,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799027291944266,0,0,9.3304596667095,0,0,0,0,0,0,0
29000,1462000,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.360636620909,0,0,14.6811175461889,0,0,0,0
37000,1462000,1198,0,0.0195258646170929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532796523815998,1.41108271154918,0,0,0,0,0,0,0
45000,1462000,1199,0,0.773628118421038,0,0,0,0,0,0,0,0,0.121183169268424,0,0,0,0,0,0,0,0,0,0.675727577111741,6.05284020258993,0,0,0.2936792200443,0,0,0,0
53000,1462000,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05864940677034,0,0,0.54067620365937,0,0,0,0
133000,1462000,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9682422988184
141000,1462000,1211,0,3.79843834077601,0,0,0,0,0,1.96201038865298,0,0,6.99649110248419,0,0,0,0,0,0,0,0,0,0,5.19236697133445,18.2482481749286,0,101.383971969572,0,0,0,0
149000,1462000,1212,0,0,0,0,29.9743986034074,0,0,10.2750424232344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4392243648391,0,39.5768213782892,0,0,0,0
157000,1462000,1213,0,58.564639538146,0,0,0,0,0,0,0,0,8.95921395277341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19000,1454000,1487,0,0.401129547456354,0,0,0,0,0,0,0,0,1.49279933348153,0,0,0,0,0,0,0,0.42860903332796,0,0,0,0,0,0,0,0,0,0
-11000,1454000,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3000,1454000,1489,0,1.84155315480983,0,0,0,0,0,0,0,0,0.935993593712464,0,0,0,0,0,0,0,0.0120663028379624,0,0,0,0,0,0,0,0,0,0
5000,1454000,1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00874284067742495,0,0,0.00874284067742495,0,0,0,0,0,0,0
13000,1454000,1491,0,0.00397002402795783,0,0,0,0,0,0,0,0,6.40352388652986,0,0,0,0,0,0,0,0.165130258244825,0,0,17.1175695238059,0,0,0,0,0,0,0
