"x","y","cell","Alder","Ash","Basswood","Beech","Birch","Black gum","Buckeye","Cedar/juniper","Cherry","Dogwood","Elm","Fir","Hackberry","Hemlock","Hickory","Ironwood","Maple","No tree","Oak","Other hardwood","Pine","Poplar","Spruce","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
141000,1486000,323,0,0,0,0,48.26,0,0,60.96,0,0,0,0,0,0,0,0,0,0,0,0,0,287.02,185.42,0,210.82,0,0,0,0
149000,1486000,324,0,0,0,0,10.16,0,0,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,149.86,116.84,0,33.02,0,0,0,0
157000,1486000,325,0,0,0,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16,0,0,0,0,0,0
133000,1478000,618,0,0,0,0,0,0,0,15.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.24,0,0,0,0
141000,1478000,619,15.24,0,0,0,68.58,0,0,264.16,0,0,0,0,0,0,0,0,0,0,0,0,0,231.14,452.12,0,1262.38,0,0,0,0
149000,1478000,620,0,30.48,0,0,111.76,0,0,401.32,0,0,0,25.4,0,0,0,0,0,0,0,0,0,414.02,467.36,0,1094.74,0,0,0,0
157000,1478000,621,0,0,0,0,96.52,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,0,40.64,144.78,25.4,0,38.1,0,0,0,12.7
-19000,1470000,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.94,0,0,104.14,0,0,0,0,0,0,12.7
-11000,1470000,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3000,1470000,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,1470000,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
