x,y,cell,Alder,Ash,Basswood,Beech,Birch,Black gum,Buckeye,Cedar/juniper,Cherry,Dogwood,Elm,Fir,Hackberry,Hemlock,Hickory,Ironwood,Maple,No tree,Oak,Other hardwood,Pine,Poplar,Spruce,Sycamore,Tamarack,Tulip poplar,Unknown tree,Walnut,Willow,NA
141000,1486000,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.36,50.8,0,121.92,0,0,0,0,0
149000,1486000,324,0,0,0,0,0,0,0,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,81.28,116.84,0,0,0,0,0,0,0
141000,1478000,619,0,0,0,0,50.8,0,0,203.2,0,0,0,0,0,0,0,0,0,0,0,0,0,60.96,132.08,0,421.64,0,0,0,0,0
149000,1478000,620,0,30.48,0,0,86.36,0,0,294.64,0,0,0,25.4,0,0,0,0,0,0,0,0,0,193.04,177.8,0,533.4,0,0,0,0,0
157000,1478000,621,0,0,0,0,25.4,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,0,40.64,20.32,25.4,0,20.32,0,0,0,0,0
-19000,1470000,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,0,0,76.2,0,0,0,0,0,0,0,0
133000,1470000,914,0,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.72,0,81.28,0,0,0,0,0
141000,1470000,915,0,0,0,0,20.32,0,0,40.64,0,0,0,0,0,0,0,0,0,0,0,0,0,121.92,228.6,0,279.4,0,0,0,0,0
149000,1470000,916,0,0,0,0,0,0,0,86.36,0,0,0,0,0,0,0,0,0,0,0,0,0,63.5,73.66,0,198.12,0,0,0,0,0
-19000,1462000,1191,0,20.32,0,0,0,0,0,0,0,0,40.64,0,0,0,0,0,0,0,137.16,0,0,20.32,0,0,0,0,0,0,0,0
5000,1462000,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.16,0,0,0,0,0,0,0,0
13000,1462000,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.86,0,0,492.76,0,0,0,0,0,0,0,0
21000,1462000,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.56,0,0,772.16,0,0,0,0,0,0,0,0
29000,1462000,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,0,0,30.48,0,0,0,0,0
37000,1462000,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.2,30.48,0,0,0,0,0,0,0,0
45000,1462000,1199,0,45.72,0,0,0,0,0,0,0,0,22.86,0,0,0,0,0,0,0,0,0,0,81.28,0,0,66.04,0,0,0,0,0
