Site,DOY,HHMM,VPD,PAR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,30,0,0,0.0041627,0,0,0.0043765,0.0021526,0.0010929,0.0012769,0,0.00015919,0.00063535,0,0.00099925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,100,0,0,0.0043101,0.00054725,0.00051391,0.010851,0.0043189,0.0029619,0.0010985,0.00068446,0.00067497,0.00069502,0.00091996,0.0030528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,130,0,0,0.0041507,0.00059565,0.0011065,0.010377,0.0062213,0.0028272,0.0014606,0.00062463,0.0014178,0.0016783,0.0012053,0.002109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,200,0,0,0.009714,0.00042909,0.00020766,0.0089953,0.0066751,0.0023137,0.0021031,0,0.0015807,0.001969,0.00076393,0.0010235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,230,0,0,0.0074415,0.00069941,0.00093728,0.0085244,0.0083207,0.0022574,0.0016438,0.00024751,0.0015051,0.001906,0.0015738,0.0015756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,300,0,0,0.0044424,0,0.001545,0.0087505,0.0093181,0.0025985,0.0017467,0.00064364,0.0009746,0.0029063,0.001874,0.0013953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,330,0,0,0.0047412,0.00070955,0.0011934,0.010454,0.010177,0.0030106,0.001935,0.00023999,0.0010237,0.0032011,0.0020635,0.0015073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,400,0,0,0.0069909,0.00076341,0.0011108,0.0091874,0.012105,0.002651,0.0025779,9.83E-06,0.001421,0.0036095,0.00225,0.0013179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,430,0,0,0.0081917,0.00048508,0.00075472,0.0072419,0.012695,0.0022133,0.0029449,4.23E-05,0.0014652,0.0041337,0.0021204,0.00082873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,500,0,0,0.012141,0,0.00014023,0.00872,0.012897,0.0025565,0.0030502,0,0.0012883,0.0044373,0.0017949,0.00094912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,530,0,0,0.011547,0.0001792,0.0007544,0.0096368,0.013372,0.0029052,0.0031608,0.00014322,0.0015854,0.0046291,0.0021026,0.0003301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,600,0,0,0.016286,0.00034915,0,0.0088364,0.014375,0.0028605,0.0036289,0.00027706,0.0017558,0.0048115,0.0022962,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,630,0,0,0.012467,0.00073773,0.00092518,0.01214,0.013765,0.0033519,0.0034534,0.00040944,0.0019247,0.0047581,0.0023837,0.00096419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,700,0,0,0.013555,0.00059273,0.00010031,0.0085023,0.012906,0.0025546,0.0034785,0.00038259,0.0019935,0.0047217,0.0018605,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,730,0,0,0.011424,0.00098116,0.0017054,0.013635,0.012565,0.0034296,0.0031196,0.00077905,0.0020451,0.004668,0.0028895,0.001124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,800,0,0,0.013399,0.00058997,0,0.0068958,0.011415,0.0020698,0.0030274,0.00010996,0.0015023,0.0040208,0.0011905,0.00044298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,830,0,0,0.012643,0.0009824,0.001375,0.011443,0.010414,0.0027177,0.0027646,0.0010388,0.001792,0.0038543,0.0018039,0.0015599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,900,0,0,0.013253,0.00092659,0.0012085,0.0090414,0.010739,0.0022841,0.0029519,0.00072674,0.0017228,0.0039141,0.0014697,0.00088334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,930,0,0,0.014631,0.00032344,0.0021333,0.0066547,0.012,0.0016241,0.0024099,0.00024157,0.001188,0.0042107,0.0015561,0.00035926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1000,0,0,0.013416,0.00082662,0.003338,0.0098313,0.013673,0.0018894,0.0023316,0.00029079,0.0011277,0.0046306,0.0017527,0.00043579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1030,0,0,0.020185,0.0013229,0.004401,0.011304,0.017228,0.0022239,0.0027029,0,0.00094299,0.0045747,0.0012116,0.00020786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1100,0,0,0.02958,0.0010627,0.0058912,0.013827,0.021638,0.0024965,0.0032724,0,0.00018869,0.0046505,0,0.00073693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1130,0,0,0.033087,0.0011397,0.0075295,0.014413,0.025816,0.0033899,0.0034824,0,0,0.0049674,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1200,0,0,0.03613,0.00076616,0.0095759,0.020532,0.029741,0.0044282,0.0037739,0,0,0.0055086,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1230,0,0,0.042914,0.0013953,0.010673,0.02697,0.034403,0.0051724,0.0050873,0,0,0.0064148,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1300,0,0,0.048318,0.0016967,0.012328,0.029222,0.035184,0.0053031,0.0056699,0,0,0.0061497,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1330,0,0,0.05,0.00024835,0.010533,0.022098,0.030969,0.0035975,0.0054353,0,0,0.0047229,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
