"","TIMESTAMP","RECORD","DECDOY","DOY","H","M","T1","T2","T3","T4","FLAG"
"1","9/25/15 10:30",854,268.4375,268,10,30,18.33467,18.70947,18.08444,18.3791,NA
"7","9/25/15 11:00",860,268.4583333,268,11,0,20.85855,20.69297,19.63927,20.24117,NA
"13","9/25/15 11:30",866,268.4791667,268,11,30,22.30395,20.98135,20.1256,20.32279,NA
"19","9/25/15 12:00",872,268.5,268,12,0,23.37451,22.78029,20.70961,21.95909,NA
"25","9/25/15 12:30",878,268.5208333,268,12,30,23.27943,22.37947,20.83799,21.81887,NA
"31","9/25/15 13:00",884,268.5416667,268,13,0,24.70992,23.14053,22.00653,22.60033,NA
"37","9/25/15 13:30",890,268.5625,268,13,30,20.29638,19.93493,19.61629,19.8907,NA
"43","9/25/15 14:00",896,268.5833333,268,14,0,24.29435,23.59147,22.34622,23.68534,NA
"49","9/25/15 14:30",902,268.6041667,268,14,30,24.6779,23.3292,22.45889,23.37739,NA
"55","9/25/15 15:00",908,268.625,268,15,0,20.45526,20.08715,19.73903,20.31704,NA
"61","9/25/15 15:30",914,268.6458333,268,15,30,19.4413,19.32564,19.00783,19.43477,NA
"67","9/25/15 16:00",920,268.6666667,268,16,0,20.29939,20.24911,19.68923,20.56181,NA
"73","9/25/15 16:30",926,268.6875,268,16,30,18.81717,18.81819,18.57577,18.87633,NA
"79","9/25/15 17:00",932,268.7083333,268,17,0,18.02982,18.13368,17.91161,17.94297,NA
"85","9/25/15 17:30",938,268.7291667,268,17,30,16.64877,16.63306,16.56129,16.42795,NA
"91","9/25/15 18:00",944,268.75,268,18,0,15.65023,15.43271,15.51013,15.43673,NA
"97","9/25/15 18:30",950,268.7708333,268,18,30,14.98748,14.87515,14.87947,14.83931,NA
"103","9/25/15 19:00",956,268.7916667,268,19,0,14.57372,14.46146,14.43964,14.37358,NA
"109","9/25/15 19:30",962,268.8125,268,19,30,14.1347,14.03867,14.09205,14.03628,NA
"115","9/25/15 20:00",968,268.8333333,268,20,0,13.91697,13.81182,13.80463,13.8286,NA
"121","9/25/15 20:30",974,268.8541667,268,20,30,13.77823,13.65955,13.63192,13.64431,NA
"127","9/25/15 21:00",980,268.875,268,21,0,13.54406,13.44942,13.45355,13.51052,NA
"133","9/25/15 21:30",986,268.8958333,268,21,30,13.42269,13.23281,13.3182,13.41282,NA
"139","9/25/15 22:00",992,268.9166667,268,22,0,13.79648,13.65949,13.69678,13.75367,NA
"145","9/25/15 22:30",998,268.9375,268,22,30,13.62879,13.47823,13.48164,13.54339,NA
"151","9/25/15 23:00",1004,268.9583333,268,23,0,13.79496,13.65251,13.64474,13.70148,NA
"157","9/25/15 23:30",1010,268.9791667,268,23,30,13.9307,13.71611,13.72577,13.86142,NA
"163","9/26/15 0:00",1016,269,269,0,0,13.74885,13.61648,13.60041,13.65699,NA
"169","9/26/15 0:30",1022,269.0208333,269,0,30,13.63235,13.48808,13.51636,13.52674,NA
"175","9/26/15 1:00",1028,269.0416667,269,1,0,13.40185,13.24609,13.25473,13.2773,NA
"181","9/26/15 1:30",1034,269.0625,269,1,30,13.29978,13.14466,13.16761,13.21142,NA
"187","9/26/15 2:00",1040,269.0833333,269,2,0,13.01717,12.83436,12.86136,12.88234,NA
"193","9/26/15 2:30",1046,269.1041667,269,2,30,12.78481,12.60381,12.65649,12.66324,NA
"199","9/26/15 3:00",1052,269.125,269,3,0,12.57858,12.37559,12.43755,12.42542,NA
"205","9/26/15 3:30",1058,269.1458333,269,3,30,12.36362,12.17504,12.27011,12.31854,NA
"211","9/26/15 4:00",1064,269.1666667,269,4,0,12.33062,12.09159,12.1565,12.24608,NA
"217","9/26/15 4:30",1070,269.1875,269,4,30,12.26589,12.07915,12.1277,12.19319,NA
"223","9/26/15 5:00",1076,269.2083333,269,5,0,12.72859,12.71212,12.72214,12.72281,NA
"229","9/26/15 5:30",1082,269.2291667,269,5,30,12.57797,12.57464,12.58213,12.55111,NA
"235","9/26/15 6:00",1088,269.25,269,6,0,12.61258,12.62294,12.63826,12.61217,NA
"241","9/26/15 6:30",1094,269.2708333,269,6,30,12.71157,12.75379,12.7561,12.71794,NA
"247","9/26/15 7:00",1100,269.2916667,269,7,0,13.04179,13.03752,13.05759,13.06434,NA
"253","9/26/15 7:30",1106,269.3125,269,7,30,13.31336,13.37683,13.3605,13.34723,NA
"259","9/26/15 8:00",1112,269.3333333,269,8,0,13.78924,13.9826,13.9149,13.85658,NA
"265","9/26/15 8:30",1118,269.3541667,269,8,30,14.52518,14.71108,14.56922,14.70749,NA
"271","9/26/15 9:00",1124,269.375,269,9,0,16.10546,17.05571,15.75942,15.88443,NA
"277","9/26/15 9:30",1130,269.3958333,269,9,30,16.66729,16.99221,15.91864,16.66214,NA
"283","9/26/15 10:00",1136,269.4166667,269,10,0,18.29858,18.70428,17.14741,18.13619,NA
"289","9/26/15 10:30",1142,269.4375,269,10,30,20.15934,20.38485,18.8046,18.96919,NA
"295","9/26/15 11:00",1148,269.4583333,269,11,0,21.18354,20.92708,19.70279,20.204,NA
"301","9/26/15 11:30",1154,269.4791667,269,11,30,21.99199,21.71327,20.62744,21.1776,NA
"307","9/26/15 12:00",1160,269.5,269,12,0,22.16357,21.3974,20.9568,21.01829,NA
"313","9/26/15 12:30",1166,269.5208333,269,12,30,22.15763,21.68946,20.83474,21.17653,NA
"319","9/26/15 13:00",1172,269.5416667,269,13,0,23.04184,22.31268,21.74751,22.24821,NA
"325","9/26/15 13:30",1178,269.5625,269,13,30,21.42559,21.35204,20.69482,20.98155,NA
"331","9/26/15 14:00",1184,269.5833333,269,14,0,20.74564,20.4597,20.15234,20.61181,NA
"337","9/26/15 14:30",1190,269.6041667,269,14,30,22.31079,22.01055,21.55859,21.7118,NA
"343","9/26/15 15:00",1196,269.625,269,15,0,20.74019,20.70764,20.27509,20.56964,NA
"349","9/26/15 15:30",1202,269.6458333,269,15,30,20.50617,20.45479,20.02701,20.46735,NA
"355","9/26/15 16:00",1208,269.6666667,269,16,0,20.83182,21.0113,20.37736,21.13841,NA
"361","9/26/15 16:30",1214,269.6875,269,16,30,19.91031,20.02067,19.6393,19.96502,NA
"367","9/26/15 17:00",1220,269.7083333,269,17,0,18.81003,18.9243,18.62856,18.59425,NA
"373","9/26/15 17:30",1226,269.7291667,269,17,30,17.6415,17.66527,17.43156,17.22568,NA
"379","9/26/15 18:00",1232,269.75,269,18,0,16.53339,16.36103,16.10873,16.16506,NA
"385","9/26/15 18:30",1238,269.7708333,269,18,30,16.09281,15.77405,15.73303,15.75179,NA
"391","9/26/15 19:00",1244,269.7916667,269,19,0,15.67658,15.31847,15.33684,15.23446,NA
"397","9/26/15 19:30",1250,269.8125,269,19,30,15.36028,15.08387,14.97443,15.08215,NA
"403","9/26/15 20:00",1256,269.8333333,269,20,0,15.03453,14.94279,14.8317,14.77321,NA
"409","9/26/15 20:30",1262,269.8541667,269,20,30,14.97268,14.695,14.71936,14.67898,NA
"415","9/26/15 21:00",1268,269.875,269,21,0,14.92591,14.71747,14.68176,14.59367,NA
"421","9/26/15 21:30",1274,269.8958333,269,21,30,14.81996,14.58619,14.62608,14.49175,NA
"427","9/26/15 22:00",1280,269.9166667,269,22,0,14.55749,14.41495,14.31091,14.20677,NA
"433","9/26/15 22:30",1286,269.9375,269,22,30,14.18997,13.96056,13.96405,13.92287,NA
"439","9/26/15 23:00",1292,269.9583333,269,23,0,13.9891,13.76956,13.77342,13.72419,NA
"445","9/26/15 23:30",1298,269.9791667,269,23,30,13.95816,13.7528,13.72347,13.68619,NA
"451","9/27/15 0:00",1304,270,270,0,0,13.76764,13.58057,13.54789,13.48533,NA
"457","9/27/15 0:30",1310,270.0208333,270,0,30,13.53305,13.28972,13.29979,13.17592,NA
"463","9/27/15 1:00",1316,270.0416667,270,1,0,13.3099,13.18938,13.06651,13.05229,NA
"469","9/27/15 1:30",1322,270.0625,270,1,30,13.13164,12.92086,12.8757,12.75881,NA
"475","9/27/15 2:00",1328,270.0833333,270,2,0,12.82842,12.61841,12.6133,12.48312,NA
"481","9/27/15 2:30",1334,270.1041667,270,2,30,12.61853,12.46779,12.45044,12.36631,NA
"487","9/27/15 3:00",1340,270.125,270,3,0,12.56622,12.41428,12.39861,12.36024,NA
"493","9/27/15 3:30",1346,270.1458333,270,3,30,12.49075,12.35865,12.33783,12.259,NA
"499","9/27/15 4:00",1352,270.1666667,270,4,0,12.37245,12.2207,12.17759,12.06774,NA
"505","9/27/15 4:30",1358,270.1875,270,4,30,12.17012,12.02447,12.04976,11.9503,NA
"511","9/27/15 5:00",1364,270.2083333,270,5,0,12.13361,12.01647,11.99964,11.96329,NA
"517","9/27/15 5:30",1370,270.2291667,270,5,30,12.05215,11.95313,11.93154,11.85028,NA
"523","9/27/15 6:00",1376,270.25,270,6,0,11.96963,11.86244,11.85526,11.78646,NA
"529","9/27/15 6:30",1382,270.2708333,270,6,30,12.38672,12.31461,12.21366,12.4641,NA
"535","9/27/15 7:00",1388,270.2916667,270,7,0,13.15757,13.33815,12.83148,13.39032,NA
"541","9/27/15 7:30",1394,270.3125,270,7,30,14.51316,15.16722,13.96642,14.4971,NA
"547","9/27/15 8:00",1400,270.3333333,270,8,0,15.83161,16.86044,15.10906,15.77375,NA
"553","9/27/15 8:30",1406,270.3541667,270,8,30,17.27536,18.11477,16.45059,17.17528,NA
"559","9/27/15 9:00",1412,270.375,270,9,0,18.99161,19.89425,17.99913,18.4928,NA
"565","9/27/15 9:30",1418,270.3958333,270,9,30,19.88027,20.47792,19.03925,19.48323,NA
"571","9/27/15 10:00",1424,270.4166667,270,10,0,20.88555,21.4525,19.85097,20.35143,NA
"577","9/27/15 10:30",1430,270.4375,270,10,30,22.56214,22.59173,21.10793,21.57184,NA
"583","9/27/15 11:00",1436,270.4583333,270,11,0,22.75765,22.7039,21.34981,21.61629,NA
"589","9/27/15 11:30",1442,270.4791667,270,11,30,23.25383,22.72656,21.86898,22.35781,NA
"595","9/27/15 12:00",1448,270.5,270,12,0,23.34376,22.86506,22.08823,22.5525,NA
"601","9/27/15 12:30",1454,270.5208333,270,12,30,24.39818,23.73384,22.91947,23.41457,NA
"607","9/27/15 13:00",1460,270.5416667,270,13,0,23.69329,23.18598,22.23889,22.96634,NA
"613","9/27/15 13:30",1466,270.5625,270,13,30,23.72584,23.32776,22.67377,23.16886,NA
"619","9/27/15 14:00",1472,270.5833333,270,14,0,24.41862,23.80368,23.37977,24.03952,NA
"625","9/27/15 14:30",1478,270.6041667,270,14,30,23.46823,23.14028,22.61561,23.23658,NA
"631","9/27/15 15:00",1484,270.625,270,15,0,23.0528,22.89133,22.35612,23.0676,NA
"637","9/27/15 15:30",1490,270.6458333,270,15,30,22.89811,22.88945,22.41295,23.04522,NA
"643","9/27/15 16:00",1496,270.6666667,270,16,0,22.26326,22.41573,21.86321,22.38944,NA
"649","9/27/15 16:30",1502,270.6875,270,16,30,21.61758,21.77591,21.31877,21.49892,NA
"655","9/27/15 17:00",1508,270.7083333,270,17,0,20.65799,20.79088,20.35647,20.44184,NA
