"","id","species","dbh","cc","ba","SWA","SWD"
"1",115,"acsa",83.3,"D",5447.02865,1880.33487388848,7.9555665
"2",493,"acsa",76.5,"D",4594.01625,1943.70805526343,9.2048625
"3",220,"acsa",74.8,"D",4392.1064,1940.42436393896,9.464444
"4",138,"acsa",73.8,"C",4275.4554,1935.30905266692,9.607284
"5",436,"acsa",70.3,"D",3879.54065,1900.26597787183,10.0497365
"6",83,"acsa",66.1,"C",3429.82985,1827.02550512026,10.4626385
"7",279,"acsa",59.8,"D",2807.1914,1665.96842217777,10.840544
"8",51,"acsa",57.4,"D",2586.3866,1591.9328378352,10.908296
"9",18,"acsa",56.5,"D",2505.91625,1562.71764580276,10.9228625
"10",47,"acsa",55.1,"D",2383.26785,1515.87752367127,10.9337685
"11",22,"acsa",54.7,"D",2348.79065,1502.20554932543,10.9342565
"12",46,"acsa",54.2,"C",2306.0474,1484.94684103718,10.933224
"13",619,"acsa",54,"C",2289.06,1477.99262060597,10.9323
"14",75,"acsa",51.5,"D",2082.01625,1388.86219769282,10.8961125
"15",139,"acsa",51.1,"D",2049.79985,1374.26280831556,10.8860885
"16",145,"acsa",50.6,"D",2009.8826,1355.89904148271,10.871916
"17",2759,"acsa",48.7,"D",1861.77665,971.269036131745,7.51380040975371
"18",80,"acsa",48.2,"D",1823.7434,950.740431325598,7.43009567163391
"19",373,"acsa",48.1,"D",1816.18385,946.661907748805,7.41336379383205
"20",9,"acsa",47.6,"D",1778.6216,926.405204316727,7.32975006124262
"21",159,"acsa",45.9,"C",1653.84585,859.224897743156,7.04604079111236
"22",136,"acsa",45.4,"C",1618.0106,839.963103338196,6.96276964336453
"23",173,"acsa",45.4,"D",1618.0106,839.963103338196,6.96276964336453
"24",284,"acsa",43.1,"C",1458.22385,754.262546906223,6.58076382923332
"25",1597,"acsa",42.8,"D",1437.9944,743.435329676196,6.53106576228902
"26",596,"acsa",41.1,"C",1326.02985,683.608045400986,6.25002153048156
"27",152,"acsa",40.5,"D",1287.59625,663.111396708373,6.15106846328656
"28",2768,"acsa",40.4,"D",1281.2456,659.726637561612,6.13458861961086
"29",331,"acsa",40.3,"C",1274.91065,656.350831143021,6.11811232059742
"30",162,"acsa",38.9,"C",1187.86985,610.028701451226,5.88782076551924
"31",858,"acsa",38.2,"C",1145.5034,587.524193822742,5.77294302434585
"32",79,"acsa",37.1,"C",1080.48185,553.04260166669,5.59279085158232
"33",621,"acsa",36.2,"C",1028.6954,525.631441091213,5.44573720994551
"34",62,"acsa",35.4,"C",983.7306,501.870127728583,5.31528839089745
"35",296,"acsa",35.3,"C",978.18065,498.939898286353,5.29900012210707
"36",69,"acsa",35.3,"C",978.18065,498.939898286353,5.29900012210707
"37",262,"acsa",34.9,"C",956.13785,487.307648447561,5.23388710973279
"38",78,"acsa",33.9,"C",902.12985,458.847076832971,5.07138862251596
"39",156,"acsa",33.7,"D",891.51665,453.261142165998,5.03893829286863
"40",294,"acsa",33,"C",854.865,433.988727848135,4.92549390059976
"41",141,"acsa",33,"C",854.865,433.988727848135,4.92549390059976
"42",1598,"acsa",32.9,"C",849.69185,431.27084802092,4.90930443969398
"43",20,"acsa",32.9,"C",849.69185,431.27084802092,4.90930443969398
"44",65,"acsa",30.8,"C",744.6824,376.231000239222,4.57032677382051
"45",15,"acsa",28.7,"C",646.59665,325.064931937794,4.2333399271542
"46",7,"acsa",27.8,"C",606.6794,304.317776132594,4.08955784003268
"47",1744,"acsa",27.7,"C",602.32265,302.056173225879,4.07360655568985
"48",283,"acsa",27,"C",572.265,286.468969519442,3.96208729466348
"49",91,"acsa",27,"C",572.265,286.468969519442,3.96208729466348
"50",413,"acsa",26.8,"C",563.8184,282.093849716975,3.93027005233704
"51",376,"acsa",25.9,"C",526.58585,262.836155209344,3.78734720493527
"52",2746,"acsa",25.6,"C",514.4576,256.573218572755,3.73980036440753
"53",2745,"acsa",25.5,"C",510.44625,254.502918830673,3.72396203042362
"54",94,"acsa",25.4,"C",506.4506,252.441288038501,3.70812903371477
"55",1591,"acsa",25.1,"C",494.55785,246.308385476972,3.66066225508753
"56",76,"acsa",24.9,"C",486.70785,242.263084576423,3.62904476925174
"57",174,"acsa",24.6,"C",475.0506,236.260035956244,3.58165947757392
"58",19,"acsa",24.4,"C",467.3576,232.301243484376,3.55009680472016
"59",66,"acsa",24.4,"C",467.3576,232.301243484376,3.55009680472016
"60",281,"acsa",24.3,"C",463.53465,230.334811835087,3.53432378488802
"61",85,"acsa",23.8,"C",444.6554,220.632199804443,3.45554267055643
"62",156,"acsa",23.7,"C",440.92665,218.71756905089,3.4398033905158
"63",27,"acsa",23,"C",415.265,205.556500098769,3.32978916314712
"64",1577,"acsa",22.9,"C",411.66185,203.710794441516,3.31409607127773
"65",855,"acsa",22.9,"C",411.66185,203.710794441516,3.31409607127773
"66",104,"acsa",22.8,"I",408.0744,201.873692719962,3.29840885347224
"67",78,"acsa",22.4,"C",393.8816,194.611272320849,3.23571918499913
"68",1589,"acsa",22.3,"C",390.37265,192.817150530157,3.22006168580083
"69",410,"acsa",22.2,"D",386.8794,191.03161669941,3.2044102013599
"70",183,"acsa",22,"S",379.94,187.486302100739,3.17312537355788
"71",212,"acsa",21.9,"C",376.49385,185.726515895857,3.15749207912173
"72",158,"acsa",21.7,"C",369.64865,182.232671996204,3.12624385308385
"73",605,"acsa",21.1,"C",349.48985,171.956769073405,3.03264790527615
"74",144,"acsa",21.1,"C",349.48985,171.956769073405,3.03264790527615
"75",89,"acsa",21,"C",346.185,170.274076735261,3.01707054294976
"76",2740,"acsa",20.8,"I",339.6224,166.93434498472,2.98593488246815
"77",142,"acsa",20.2,"C",320.3114,157.120165815738,2.8926823952451
"78",601,"acsa",19.7,"C",304.65065,149.176248810189,2.81515240045244
"79",221,"acsa",19.7,"C",304.65065,149.176248810189,2.81515240045244
"80",374,"acsa",19.7,"I",304.65065,149.176248810189,2.81515240045244
"81",1724,"acsa",19.6,"C",301.5656,147.61301871263,2.79966643510772
"82",613,"acsa",18.8,"C",277.4504,135.41330626413,2.67602429140642
"83",322,"acsa",18.8,"I",277.4504,135.41330626413,2.67602429140642
"84",73,"acsa",18.5,"C",268.66625,130.978517897895,2.62977316447923
"85",852,"acsa",18.2,"I",260.0234,126.620016899043,2.58358598929515
"86",850,"acsa",18.1,"C",257.17385,125.184120937521,2.5682046373912
"87",87,"acsa",18,"I",254.34,123.756688400911,2.55283053100806
"88",280,"acsa",17.4,"C",237.6666,115.369640134367,2.46074008741134
"89",160,"acsa",17,"C",226.865,109.947120889519,2.39949606772989
"90",1738,"acsa",17,"I",226.865,109.947120889519,2.39949606772989
"91",1508,"acsa",16.8,"C",221.5584,107.286433208149,2.36891987557335
"92",174,"acsa",16.4,"I",211.1336,102.066062165384,2.30786075529984
"93",157,"acsa",16.3,"C",208.56665,100.781991306217,2.29261565024898
"94",108,"acsa",16,"I",200.96,96.9801738064011,2.24692824678505
"95",1581,"acsa",15.8,"I",195.9674,94.4875882586603,2.21651034929097
"96",477,"acsa",15.5,"I",188.59625,90.8115752630195,2.17094497455598
