id,distance,azimuth,dbh,ba,species,height angle,cc,notes,subplot,entry,,,,,
115,6.10,92,83.3,5447.02865,acsa,80,D,in ap plot,3,2,,,,,
493,9.15,183,76.5,4594.01625,acsa,71,D,,1,9,,,,,
220,4.90,101,74.8,4392.1064,acsa,84,D,"can't really see the top, dying",6,5,,,,,
138,8.55,113,73.8,4275.4554,acsa,68,C,Also 599,7,11,,,,,
436,10.00,278,70.3,3879.54065,acsa,73,D,,10,16,,,,,
83,7.60,50,66.1,3429.82985,acsa,63,C,new tag,4,2,,,,,
279,9.90,294,59.8,2807.1914,acsa,78,D,,3,11,,,,,
51,5.80,101,57.4,2586.3866,acsa,80,D,,15,6,,,,,
18,4.30,56,56.5,2505.91625,acsa,82,D,,15,4,,,,,
47,7.65,111,55.1,2383.26785,acsa,71,D,,5,7,,,,,
22,9.65,12,54.7,2348.79065,acsa,55,D,,15,1,,,,,
46,7.00,270,54.2,2306.0474,acsa,71,C,,6,10,,,,,
619,9.40,340,54.0,2289.06,acsa,68,C,very slanted,1,21,,,,,
75,8.80,300,51.5,2082.01625,acsa,79,D,new tag,4,13,,,,,
139,6.75,326,51.1,2049.79985,acsa,77,D,also 10,16,23,,,,,
145,9.50,91,50.6,2009.8826,acsa,51,D,,14,6,,,,,
2759,8.50,331,48.7,1861.77665,acsa,64,D,also 361,14,19,,,,,
80,8.95,156,48.2,1823.7434,acsa,62,D,new tag,4,5,,,,,
373,5.50,243,48.1,1816.18385,acsa,77,D,,5,17,,,,,
9,5.75,80,47.6,1778.6216,acsa,74,D,,13,6,,,,,
159,7.70,249,45.9,1653.84585,acsa,68,C,burnt,11,11,,,,,
136,6.60,124,45.4,1618.0106,acsa,84,C,Also 598,7,10,,,,,
173,6.10,274,45.4,1618.0106,acsa,-,D,"slanted towards me, impossible to do height",13,29,,,,,
284,9.95,24,43.1,1458.22385,acsa,53,C,"burnt/lightning scar, also 1675",2,1,,,,,
1597,7.35,72,42.8,1437.9944,acsa,78,D,,14,4,,,,,
596,7.10,93,41.1,1326.02985,acsa,74,C,Also 131,7,13,,,,,
152,8.70,99,40.5,1287.59625,acsa,67,D,,13,8,,,,,
2768,4.70,248,40.4,1281.2456,acsa,79,D,,14,12,,,,,
331,4.35,278,40.3,1274.91065,acsa,76,C,,6,11,,,,,
162,7.50,230,38.9,1187.86985,acsa,66,C,,11,9,,,,,
858,7.00,189,38.2,1145.5034,acsa,65,C,,12,9,,,,,
79,8.65,165,37.1,1080.48185,acsa,71,C,new tag,4,6,,,,,
621,4.45,17,36.2,1028.6954,acsa,75,C,in ap plot,3,1,,,,,
62,7.50,169,35.4,983.7306,acsa,69,C,new tag,6,8,,,,,
296,9.75,259,35.3,978.18065,acsa,62,C,also 1593,2,13,,,,,
69,5.65,111,35.3,978.18065,acsa,76,C,Also 2712,11,4,,,,,
262,5.60,119,34.9,956.13785,acsa,81,C,has sensor,2,6,,,,,
78,9.55,44,33.9,902.12985,acsa,56,C,,11,1,,,,,
156,9.80,158,33.7,891.51665,acsa,70,D,,13,12,,,,,
294,8.70,266,33.0,854.865,acsa,61,C,also 1592,2,15,,,,,
141,4.85,198,33.0,854.865,acsa,72,C,,7,7,,,,,
1598,5.45,53,32.9,849.69185,acsa,77,C,"also 2770, and eaten id",14,3,,,,,
20,6.25,227,32.9,849.69185,acsa,79,C,,2,8,,,,,
65,9.55,307,30.8,744.6824,acsa,71,C,new tag,1,19,,,,,
15,8.45,35,28.7,646.59665,acsa,74,C,has eaten two tags,1,5,,,,,
7,1.85,230,27.8,606.6794,acsa,85,C,"2728, 601",3,9,,,,,
1744,7.95,178,27.7,602.32265,acsa,60,C,,15,13,,,,,
283,10.00,36,27.0,572.265,acsa,67,C,,2,2,,,,,
91,5.40,85,27.0,572.265,acsa,77,C,new tag,8,5,,,,,
413,7.65,313,26.8,563.8184,acsa,66,C,,13,35,,,,,
376,4.30,262,25.9,526.58585,acsa,78,C,,5,19,,,,,
2746,5.35,79,25.6,514.4576,acsa,82,C,,5,4,,,,,
2745,5.95,84,25.5,510.44625,acsa,82,C,,5,5,,,,,
94,5.20,212,25.4,506.4506,acsa,74,C,oval tag,8,13,,,,,
1591,3.20,264,25.1,494.55785,acsa,84,C,,2,14,,,,,
76,8.20,261,24.9,486.70785,acsa,74,C,"new tag, height is iffy",4,12,,,,,
174,6.65,351,24.6,475.0506,acsa,79,C,dbh is below base height,15,22,,,,,
19,9.85,80,24.4,467.3576,acsa,62,C,,15,5,,,,,
66,9.00,289,24.4,467.3576,acsa,66,C,new tag,1,18,,,,,
281,7.35,74,24.3,463.53465,acsa,71,C,,2,3,,,,,
85,2.90,178,23.8,444.6554,acsa,83,C,new tag,8,11,,,,,
156,2.80,305,23.7,440.92665,acsa,79,C,,11,14,,,,,
27,6.10,341,23.0,415.265,acsa,68,C,"sensored, also 2754",6,13,,,,,
1577,5.80,245,22.9,411.66185,acsa,74,C,,2,12,,,,,
855,7.95,149,22.9,411.66185,acsa,59,C,in gap,12,6,,,,,
104,7.60,350,22.8,408.0744,acsa,73,I,oval tag,8,22,,,,,
78,2.90,194,22.4,393.8816,acsa,78,C,new tag,4,9,,,,,
1589,5.95,10,22.3,390.37265,acsa,78,C,,5,1,,,,,
410,5.75,334,22.2,386.8794,acsa,75,D,,13,36,,,,,
183,3.50,224,22.0,379.94,acsa,82,S,,15,15,,,,,
212,7.55,156,21.9,376.49385,acsa,64,C,near gap,6,7,,,,,
158,3.85,197,21.7,369.64865,acsa,85,C,,11,7,,,,,
605,8.95,133,21.1,349.48985,acsa,60,C,,1,7,,,,,
144,9.35,329,21.1,349.48985,acsa,63,C,,10,20,,,,,
89,9.55,140,21.0,346.185,acsa,70,C,"new tag, same tree as 88",8,7,,,,,
2740,7.35,302,20.8,339.6224,acsa,66,I,,6,12,,,,,
142,5.25,87,20.2,320.3114,acsa,69,C,eaten id,10,7,,,,,
601,9.30,181,19.7,304.65065,acsa,58,C,,2,7,,,,,
221,8.80,211,19.7,304.65065,acsa,62,C,"590, 2726",3,7,,,,,
374,9.05,246,19.7,304.65065,acsa,52,I,dying,5,18,,,,,
1724,6.05,253,19.6,301.5656,acsa,73,C,,16,18,,,,,
613,6.15,86,18.8,277.4504,acsa,67,C,,1,6,,,,,
322,7.65,231,18.8,277.4504,acsa,53,I,,2,10,,,,,
73,5.25,332,18.5,268.66625,acsa,69,C,,12,16,,,,,
852,7.05,48,18.2,260.0234,acsa,53,I,,12,3,,,,,
850,3.90,2,18.1,257.17385,acsa,72,C,,12,1,,,,,
