Site,ID,SPP,Sens,DBH,CC,BA,SWA,SWD,Heartwood Area,Heartwood R,Ring 1 R,Ring 2 R,Ring 3 R,Ring 4 R,Remainder R,RadialMult,Ring 1 A,Ring 2 A,Ring 3 A,Ring 4 A,Remainder A,SWA,AreaMult
SYV,40,TSCA,1,60.5,D/C,2874.751199,1039.469193,6.08,1835.282006,24.17,2,2,2,0.08,0,0.606355263,367.56603,342.43331,317.30059,12.16926302,0,1039.469193,0.624807748
SYV,39,TSCA,2,36.5,C,1046.345819,588.0638329,6.172094131,458.2819865,12.07790587,2,2,2,0.172094131,0,0.601157437,216.76971,191.63699,166.50427,13.15286287,0,588.0638329,0.634816322
SYV,43,TSCA,3,13.5,S,143.1386944,150.5360474,NA,0,0,,,,,0,#VALUE!,,,,,,,
SYV,24,TSCA,4,20,C,314.159,257.925535,5.769198306,56.23346504,4.230801694,2,2,1.769198306,0,0,0.625122066,113.09724,87.96452,56.86377496,0,0,257.925535,0.691469703
SYV,2727,OSVI,5,18,S/I,254.46879,123.7566884,2.549652,130.7121016,6.450348,2,0.549652,0,0,0,0.90837883,100.53088,23.2258084,0,0,0,123.7566884,0.920238908
SYV,222,OSVI,6,13.5,S,143.1386944,68.22530641,1.866794891,74.91338797,4.883205109,1.866794891,0,0,0,0,1,68.22530641,0,0,0,0,68.22530641,1
SYV,225,BEAL,7,55.5,D,2419.220649,1239.110312,8.368537089,1180.110338,19.38146291,2,2,2,2,0.368537089,0.51109083,336.15013,311.01741,285.88469,260.75197,45.30611172,1239.110312,0.53885951
SYV,223,TSCA,8,19.5,I,298.6473994,249.1326591,5.779981782,49.51474026,3.970018218,2,2,1.779981782,0,0,0.624437141,109.95565,84.82293,54.35407912,0,0,249.1326591,0.693414455
SYV,262,ACSA,9,35.5,C,989.7971994,504.8092275,5.325162113,484.9879719,12.42483789,2,2,1.325162113,0,0,0.65573437,210.48653,185.35381,108.9688875,0,0,504.8092275,0.683780971
SYV,277,TSCA,10,29,I,660.5192975,429.1098691,5.917461272,231.4094284,8.582538728,2,2,1.917461272,0,0,0.615923762,169.64586,144.51314,114.9508691,0,0,429.1098691,0.658102412
SYV,42,TSCA,11,27,I/C,572.5547775,389.091374,5.858124288,183.4634035,7.641875712,2,2,1.858124288,0,0,0.619549174,157.0795,131.94678,100.065094,0,0,389.091374,0.665051219
SYV,41,BEAL,12,72,D,4071.50064,1333.703776,6.479353931,2737.796864,29.52064607,2,2,2,0.479353931,0,0.584884443,439.8226,414.68988,389.55716,89.63413583,0,1333.703776,0.601258428
SYV,115,ACSA,13,83.5,D,5475.987719,1879.196415,7.9137,3596.791304,33.8363,2,2,2,1.9137,0,0.525637136,512.07917,486.94645,461.81373,418.3570653,0,1879.196415,0.542336839
SYV,2754,ACSA,14,23.5,I/C,433.7357694,214.9141789,3.404154663,218.8215905,8.345845337,2,1.404154663,0,0,0,0.824694883,135.08837,79.82580892,0,0,0,214.9141789,0.842141784
SYV,601,ACSA,15,21.3,S,356.3269918,175.3478209,3.060039003,180.9791709,7.589960997,2,1.060039003,0,0,0,0.852774237,121.265374,54.0824469,0,0,0,175.3478209,0.868917448
SYV,282,ACSA,16,17.5,C,240.5279844,116.7463616,2.472982593,123.7816227,6.277017407,2,0.472982593,0,0,0,0.91871451,97.38929,19.35707164,0,0,0,116.7463616,0.929533089
SYV,7,ACSA,17,28,C/I,615.75164,308.8671487,4.116455595,306.8844913,9.883544405,2,2,0.116455595,0,0,0.772520308,163.36268,138.22996,7.274508677,0,0,308.8671487,0.792320359
SYV,323,ACSA,18,7,S,38.4844775,17.51892837,0.916679038,20.96554913,2.583320962,0.916679038,0,0,0,0,1,17.51892837,0,0,0,0,17.51892837,1
SYV,1573,TSCA,19,21.5,I,363.0499944,284.7894757,5.75889613,78.26051871,4.99110387,2,2,1.75889613,0,0,0.625778816,122.52201,97.38929,64.87817567,0,0,284.7894757,0.685627236
SYV,38,TSCA,20,33,C,855.2978775,512.2091632,6.049707093,343.0887143,10.45029291,2,2,2,0.049707093,0,0.608099594,194.77858,169.64586,144.51314,3.271583209,0,512.2091632,0.645153253
