"","FETCH_MAX","FETCH_90","ZL","RH_1_1_1","PPFD_IN_1_1_1"
"1",118.8022,325.4177,0.002570077,80.089,-9999
"2",108.9576,298.4516,0.007755016,79.41112,-2.81e-08
"3",114.4456,313.4841,0.006942871,79.97224,-0.002764833
"4",104.0365,284.9721,0.01399725,80.70999,-0.002764778
"5",113.0667,309.7072,0.004914426,81.31001,-0.004607885
"6",111.5982,305.6849,0.008335961,81.83445,-0.007372476
"7",106.2998,291.1717,0.01029468,82.23331,-0.003686194
"8",94.10929,257.7799,-0.004586039,82.53,-0.002764644
"9",107.3599,294.0755,0.01185733,82.84889,-0.007372099
"10",106.9885,293.058,0.01343584,81.35334,-0.009214763
"11",109.3104,299.4181,0.01133269,80.80334,-0.000921453
"12",107.7228,295.0694,0.009589305,80.86668,0.004607019
"13",115.2342,315.6443,0.01157622,81.00111,-0.003685508
"14",106.3026,291.1794,0.01143725,81.31444,-0.000921418
"15",114.696,314.17,0.007838316,81.38445,0.2892947
"16",118.3263,324.114,0.005917302,81.4978,8.170105
"17",114.9315,314.8153,0.007236676,81.50777,52.66637
"18",111.6506,305.8282,0.009912363,81.64666,87.25535
"19",112.6155,308.4712,-0.004459903,82.16666,214.8081
"20",118.2836,323.9972,0.00051559,80.38112,277.6235
"21",114.2005,312.813,-0.01809075,79.90667,383.3796
"22",114.9064,314.7464,-0.02196706,80.39445,342.0882
"23",115.0215,315.0616,-0.001087057,78.48444,371.4516
"24",110.0406,301.4182,-0.008975759,74.52,376.4562
"25",119.8714,328.3464,-0.008355015,72.80888,305.1219
"26",102.5163,280.8079,-0.01146077,74.48335,218.8189
"27",119.2762,326.7161,-0.01640288,71.04887,432.9096
"28",123.4244,338.0785,-0.000288901,75.33888,179.7715
"29",119.1993,326.5055,-0.005242166,68.38444,231.5086
"30",111.2595,304.7569,0.000708083,67.73666,216.7455
"31",108.9643,298.4702,-0.004285861,66.93333,142.7529
"32",115.1248,315.3447,0.006977587,65.99667,82.17216
"33",108.8165,298.0651,0.04488608,66.19556,26.41871
"34",113.2431,310.1905,0.04634661,65.8589,1.415542
"35",104.6565,286.6702,0.1157066,66.80888,-0.009210731
"36",110.1204,301.6369,0.1200372,66.24777,-0.02026407
"37",99.368,272.1844,0.2126943,64.59444,-0.001842351
"38",256.7254,-9999,0.5238488,64.02112,-0.00184246
"39",114.6044,313.9193,0.3898634,64.76778,-0.003684975
"40",106.732,292.3555,0.348776,62.41333,0.000921485
"41",105.0968,287.8765,0.3608138,60.05555,-0.000921384
"42",114.5385,313.7388,0.2176419,58.90554,-0.001842892
"43",100.63,275.641,0.4309276,60.12888,-0.001842945
"44",304.1047,-9999,0.5902295,61.36666,-0.000921493
"45",95.98193,262.9094,0.3696347,63.40555,0
"46",112.8415,309.0905,0.2707864,63.57,-0.001843109
"47",106.5385,291.8254,0.2245518,62.96222,0.000921567
"48",111.4682,305.3286,0.1294997,61.60889,0.000921559
"49",112.0062,306.8023,0.1172043,61.21778,0
"50",112.4088,307.9052,0.1026253,61.94221,0
"51",106.7935,292.524,0.1642651,62.27999,0
"52",109.2633,299.2892,0.1370344,62.41555,0
"53",98.73728,270.4567,0.302247,63.59777,0.000921625
"54",114.8419,314.5697,0.2035064,65.68778,0
"55",107.0039,293.1003,0.2449217,67.21555,-0.000921718
"56",115.153,315.4218,0.1886132,68.37333,0
"57",100.8778,276.32,0.4179477,69.17444,-0.000921742
"58",106.7228,292.3304,0.02839499,71.93777,0.001843529
"59",108.6434,297.591,0.1223165,72.79555,-0.001843574
"60",101.7516,278.7135,0.1281104,73.17776,-0.003687291
"61",107.8349,295.3766,0.1494861,73.31223,-0.001843679
"62",107.0732,293.29,0.08115484,73.24445,-0.000921869
"63",116.5623,319.2823,0.03267821,71.63333,0.3272585
"64",116.349,318.6979,0.03873595,69.82889,7.381159
"65",113.301,310.3489,0.02699003,68.98333,27.1525
"66",115.703,316.9285,0.008351414,68.53221,70.6526
"67",117.2054,321.0436,-0.01010485,65.86001,134.3389
"68",106.0042,290.3618,-0.0638619,65.0089,201.1628
"69",108.689,297.716,-0.04220283,63.55,257.1351
"70",109.6491,300.3459,-0.09912808,59.90999,290.9323
"71",93.89589,257.1954,-0.2373385,54.12666,296.5594
"72",79.97581,219.0661,-0.8367589,55.16666,287.0191
"73",104.9762,287.5462,-0.2018292,55.14555,263.7577
"74",105.0828,287.838,-0.1016533,54.05667,275.6338
"75",99.04895,271.3104,-0.1701841,55.9311,219.5239
"76",107.9081,295.5769,-0.08063541,59.84889,135.6022
"77",101.3934,277.7322,-0.05475254,60.32667,90.76118
"78",99.50084,272.5482,-0.01386078,59.82222,70.18059
"79",97.92987,268.2451,-0.005386774,59.26555,51.7192
"80",111.0512,304.1864,-0.008298017,62.88556,21.31616
"81",102.4278,280.5655,0.009058346,65.72889,5.629601
"82",99.19304,271.7051,0.01334417,67.57222,0.390601
"83",100.921,276.4383,0.0239295,67.32556,-0.00460618
"84",104.4455,286.0925,0.02261006,68.18,-0.008291076
"85",98.34665,269.3867,0.03969392,67.97556,-0.004606095
"86",102.0612,279.5615,0.03128429,68.41444,-0.01013333
"87",104.753,286.9347,0.04946363,68.66223,-0.008290776
"88",102.1788,279.8835,0.07354593,68.5,-0.007369375
"89",99.06831,271.3634,0.08384482,67.75111,-0.01658073
"90",112.1954,307.3205,0.05127445,67.70667,-0.01842272
"91",104.5786,286.457,0.06590433,66.57999,-0.02671243
"92",100.9694,276.5707,0.04734463,65.62889,-0.01842217
"93",109.762,300.655,0.02608979,64.88889,-0.006447625
"94",91.59251,250.8861,0.0607591,65.55445,-0.02302672
"95",112.122,307.1195,0.05459624,66.5911,-0.0128948
"96",103.185,282.6396,0.04468747,68.38111,-0.02026285
"97",101.5257,278.0945,0.04685691,69.03555,-0.01105241
"98",108.2426,296.4932,0.05012339,69.03221,-0.003684101
"99",106.8211,292.5995,0.04377288,68.72111,-0.001842067
"100",108.272,296.5737,0.06422584,70.24001,-0.002763118
"101",120.2288,329.3252,0.02960821,72.70444,-0.008289429
"102",108.9384,298.3991,0.03212746,74.51888,-0.01657892
"103",118.0662,323.4015,0.01357547,76.31777,-0.009210334
"104",110.3738,302.3311,0.01716481,78.15334,-0.01289417
"105",116.1375,318.1185,0.04698254,80.31333,-0.01749875
"106",109.3079,299.4113,0.01995792,81.32668,-0.01105162
"107",119.34,326.8908,0.02952891,82.31777,-0.022103
"108",97.7632,267.7885,0.06101851,83.26556,-0.02026083
"109",109.6642,300.3871,0.008348206,83.35555,-0.01565604
"110",111.9141,306.5501,0.007935236,84.36889,-0.01657663
"111",119.2307,326.5913,0.007306811,87.17056,0.1786551
"112",114.385,313.3183,-0.09622592,88.74422,4.104365
"113",114.758,314.34,0.0134054,88.74807,25.402
"114",107.1015,293.3675,0.01715383,88.30681,43.75409
"115",129.4413,354.5597,0.00112345,88.39314,77.42114
"116",105.3877,288.6732,-0.01720904,88.76148,118.0412
"117",115.5003,316.3733,-0.03263247,89.46555,213.0192
"118",106.7934,292.5237,-0.03393979,89.12599,249.5945
"119",104.1195,285.1995,-0.1041372,88.74422,271.7835
"120",109.5275,300.0127,-0.1228924,87.72191,291.1983
"121",103.7052,284.0646,-0.1208271,86.47443,259.0233
"122",122.3471,335.1277,-0.1066895,86.38889,229.1416
"123",89.94483,246.3728,-0.2501636,85.79667,195.5503
"124",104.307,285.7131,-0.1340235,85.08889,276.6766
"125",101.9828,279.3466,-0.2153614,83.42667,168.9321
"126",103.0939,282.3902,-0.1456666,83.23778,105.6435
"127",107.9148,295.5954,-0.01282539,82.84999,57.31509
"128",123.1575,337.3474,-0.04143208,82.5289,22.74148
"129",119.8435,328.2699,0.1193453,82.90555,5.847151
"130",76.41164,2836,0.2057869,82.83668,0.4565835
"131",93.77155,3866,0.3737525,82.73222,-0.03958358
"132",187.2628,8996,0.3873585,83.44001,-0.03498125
"133",174.2282,8086,0.3141012,84.51334,-0.03498193
"134",94.70371,259.4081,0.07620931,84.41778,-0.03498232
"135",95.41904,261.3675,0.03689099,85.00667,-0.03314129
"136",105.8667,289.9854,0.008951536,85.48555,-0.03130015
"137",96.67917,264.8192,-0.009938366,86.58894,-0.03498271
"138",95.12034,260.5493,0.003641766,89.03967,-0.0349829
"139",114.0308,312.348,-0.009274884,90.9006,-0.03958618
"140",114.6504,314.0452,-0.01943367,89.23727,-0.03314225
"141",102.3338,280.308,0.005041818,87.80185,-0.01841346
"142",102.9846,282.0907,0.007905755,86.35666,-0.02578065
"143",118.2488,323.9017,0.00226925,85.43555,-0.01933731
"144",107.4476,294.3155,-0.005770609,84.10332,-0.02025978
"145",110.0968,301.5721,0.001937266,83.51667,-0.0211822
"146",99.91702,273.6882,-0.002263964,83.29444,-0.01749958
"147",98.45685,269.6886,0.003337618,82.67889,-0.007368618
"148",96.14256,263.3494,-0.005571567,82.73556,-0.005526741
"149",100.7272,275.9073,0.001067906,82.62778,-0.001842314
"150",115.1152,315.3184,-9.45e-05,82.38332,-0.002763541
"151",106.6092,292.0192,0.001106054,82.39666,-0.000921207
"152",121.4424,332.6494,-0.003996887,82.25001,-0.004606153
"153",114.1147,312.5779,-0.005390333,80.95222,-0.001842513
"154",116.4754,319.0441,-0.004591955,79.75778,-0.000921251
"155",106.2299,290.98,0.000711296,79.83557,-0.002763993
"156",103.3648,283.1322,-0.005593172,80.20777,-0.001842743
"157",110.3915,302.3796,-0.002297117,80.61667,0
"158",116.0345,317.8363,0.000493553,80.24223,-0.000921424
"159",109.3574,299.5468,-0.001497123,79.68333,0.2930215
"160",106.9307,292.8998,-0.006802496,78.15778,8.824846
"161",102.2647,280.1188,-0.002888606,78.45556,49.16323
"162",103.4064,283.2461,-0.005927109,76.29888,123.1766
"163",104.709,286.8142,-0.01247033,77.42556,134.5083
"164",104.7154,286.8316,-0.01981708,71.81555,235.8022
"165",106.3615,291.3406,-0.01468525,69.27554,281.3905
"166",102.4882,280.7309,-0.02107035,68.29778,351.4037
"167",99.29971,271.9973,-0.02859319,68.78333,471.6847
"168",102.2909,280.1907,-0.03027363,68.6489,460.6695
"169",112.6284,308.5066,-0.02530789,66.39889,387.8405
"170",111.6336,305.7818,-0.01788143,68.11555,360.9987
"171",109.0011,298.5708,-0.02018043,67.99777,300.2314
"172",111.9196,306.565,-0.01640124,67.26778,370.9872
"173",111.1127,304.355,-0.01879159,64.77778,336.7607
"174",115.4571,316.2549,-0.01662946,66.89443,256.4393
"175",112.4121,307.9143,-0.01308445,66.36556,186.9568
"176",118.9057,325.7011,-0.006094628,66.81778,90.36282
"177",115.8815,317.4175,0.005175675,67.82445,25.87582
"178",105.6992,289.5265,0.01233102,69.84445,1.564864
"179",118.4484,324.4486,0.004720824,70.34335,0.005532831
"180",118.2497,323.9043,0.003757358,71.58222,0.003689221
"181",114.5781,313.8471,0.005120474,71.74667,-0.002767067
"182",106.2891,291.1424,0.006103239,71.47778,0.002767148
"183",106.3902,291.4194,0.001631575,71.76444,-0.000922402
"184",112.0258,306.8561,0.001688158,71.82111,0.000922399
"185",111.738,306.0676,0.007376729,71.61888,-0.000922446
"186",106.2204,290.9541,0.003762822,71.85335,0.004612299
"187",116.1363,318.1154,0.006721518,71.63332,0.00184496
"188",113.7087,311.4658,0.008664069,71.77,-0.000922536
"189",108.9611,298.4613,0.01367798,71.75555,-0.002767554
"190",108.5424,297.3145,0.01421622,71.72778,0.000922542
"191",100.8742,276.3102,0.01583994,71.34222,-6.33e-09
"192",109.5672,300.1214,0.01091689,71.47222,0.002767785
"193",108.1857,296.3375,0.01693093,72.36555,-6.71e-09
"194",106.302,291.1778,0.0363249,73.17777,0.003690667
"195",111.163,304.4926,0.0391052,73.78779,0.001845345
"196",107.279,293.8538,0.03256981,73.9211,0.000922712
"197",107.6025,294.74,0.02732724,73.84445,0.001845565
"198",110.1092,301.6063,0.02123404,73.80001,-0.001845608
"199",103.4978,283.4966,0.02758618,73.27222,-0.000922851
"200",116.9197,320.2611,0.02900391,72.95223,-0.001845773
"201",116.004,317.7529,0.02814493,72.88557,0.003691569
"202",107.9517,295.6963,0.03137623,73.10111,0.000922908
