Site,DOY,HHMM,VPD,PAR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
SYV,189,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,0,NaN
SYV,189,30,NaN,0,0.00080906,0,0.0040777,0.00079115,0.0057412,0.0034474,0,0.00050984,0.0018046,0,0,0.0036494,0,0.0016528,NaN,0,0.002765,NaN,0,NaN
SYV,189,100,NaN,0,0.009993,0,0.0060383,0.008262,0.0095296,0.0069225,0.0013596,0,0.0033065,0,0,0.0061541,0,0.0055216,NaN,0,0.0048067,NaN,0.00017094,NaN
SYV,189,130,NaN,0,0.0084374,0,0.0095165,0.0093967,0.0098537,0.0060009,0.0019663,0,0.0027898,0,0,0.0098592,0,0.0059928,NaN,0,0.0053585,NaN,0,NaN
SYV,189,200,NaN,0,0.011784,0,0.011065,0.0078414,0.0078015,0.0055691,0.0031652,0,0.0016522,0,0,0.0090767,0,0.0061226,NaN,0,0.005159,NaN,0.00025091,NaN
SYV,189,230,NaN,0,0,0,0.0087202,0,0.0043074,0.0055042,0.00081784,0,0.00098085,0,0,0.0073483,0,0.0040401,NaN,0,0,NaN,0.0010158,NaN
SYV,189,300,NaN,0,0,0,0.0068163,0,0,0.0044607,0,0.0004875,0,0,0,0.0028037,0,0.0017991,NaN,0,0,NaN,0.0021258,NaN
SYV,189,330,NaN,0,0,0,0.006635,0.0017246,0.00097816,0.0020779,0,0,0,0,0,0,0,0,NaN,0,0,NaN,0.0030672,NaN
SYV,189,400,NaN,0,0,0,0.0088208,0,0,0.00091694,0,0,0,0,0,0,0,0,NaN,0,0,NaN,0.0028047,NaN
SYV,189,430,0.6,54.05,0.0027779,0,0.010583,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0.0032311,0
SYV,189,500,NaN,127.57,0.0026225,0,0.012134,0,0.00076666,0,0,0,0,0,0,0.0011349,0,0,NaN,0.00025104,0,0,0.004349,0.0015027
SYV,189,530,1.73,271.06,0.0026934,0,0.01478,0.0024008,0.0029762,0.00086378,0,0,0,0.00088638,0,0.003447,0,0,NaN,0.00099142,0,0,0.005817,0
SYV,189,600,1.56,476.41,0.0061776,0,0.016343,0.0058513,0.0061026,0.0023317,0.00050544,0,0,0.0025161,0,0.0038834,0,0.0013786,NaN,0.00042759,0.00062396,0,0.0083355,0
SYV,189,630,1.19,672.04,0.0053382,0,0.018791,0.011851,0.010529,0.0045385,0.001558,0,0,0.0033017,0,0.0045558,0,0.0060762,NaN,0.00051591,0.0034137,0.0046953,0.011395,0
SYV,189,700,0.13,844.24,0.02094,0,0.022799,0.023247,0.024508,0.0067556,0.0081104,0,0,0.0057937,0,0.0071209,0,0.01323,NaN,0.0020738,0.010167,0.06241,0.014652,0.0079456
SYV,189,730,0.26,1022.8,0.046617,0.0075251,0.029303,0.054149,0.062034,0.013452,0.045317,0,0.0017322,0.012955,0,0.014485,0,0.040122,NaN,0.0099095,0.038951,0.16311,0.020788,0.032051
SYV,189,800,0.78,1201.6,0.086309,0.024618,0.035207,0.10864,0.12239,0.026086,0.11037,0,0.014524,0.029088,0.0059747,0.02563,0,0.099502,NaN,0.025007,0.090852,0.23348,0.032834,0.071335
SYV,189,830,0.86,1367.1,0.13703,0.048863,0.038888,0.20059,0.19,0.04617,0.16282,0.0083405,0.044077,0.0562,0.020722,0.051285,0.0020834,0.16768,NaN,0.054144,0.148,0.27317,0.05484,0.11942
SYV,189,900,0.95,1501.2,0.18893,0.074956,0.044902,0.30218,0.23898,0.064577,0.19917,0.029502,0.082786,0.092199,0.044537,0.099586,0.01922,0.20429,NaN,0.095445,0.17987,0.29267,0.085265,0.17412
SYV,189,930,0.99,1388.1,0.23888,0.10066,0.047953,0.35427,0.31502,0.084648,0.22121,0.06527,0.11056,0.13444,0.068815,0.19735,0.036956,0.23091,NaN,0.17414,0.20028,0.30415,0.11925,0.22982
SYV,189,1000,1.05,1483.8,0.2735,0.12583,0.057378,0.39098,0.32983,0.094763,0.2375,0.10275,0.12747,0.16915,0.08825,0.25783,0.051279,0.25581,NaN,0.24654,0.21807,0.30598,0.13982,0.27295
SYV,189,1030,1.08,1716.1,0.30011,0.15448,0.067457,0.42236,0.34076,0.10984,0.24917,0.12831,0.14067,0.19196,0.097422,0.26485,0.066265,0.2716,NaN,0.27176,0.26107,0.32087,0.15038,0.30579
SYV,189,1100,1.13,1934.2,0.33635,0.18503,0.076745,0.43216,0.34861,0.12013,0.25386,0.13624,0.14578,0.2122,0.10227,0.26931,0.099299,0.27728,NaN,0.27908,0.29208,0.33811,0.15744,0.33256
SYV,189,1130,1.18,1945.4,0.35609,0.19299,0.084698,0.44175,0.36385,0.13249,0.26161,0.1334,0.14788,0.22093,0.10453,0.28258,0.12026,0.28053,NaN,0.29083,0.2699,0.3461,0.1611,0.34411
SYV,189,1200,1.19,1749.5,0.3743,0.20436,0.091002,0.45671,0.37569,0.13973,0.27137,0.13002,0.15471,0.22419,0.10306,0.28755,0.12046,0.29865,NaN,0.30362,0.27074,0.35214,0.1599,0.35762
SYV,189,1230,1.22,1760.8,0.39924,0.21322,0.099423,0.46843,0.39958,0.14292,0.27479,0.13321,0.15683,0.23568,0.10589,0.29844,0.12324,0.29266,NaN,0.3102,0.26271,0.35207,0.16382,0.36428
SYV,189,1300,1.27,1454.8,0.40329,0.22093,0.10564,0.45963,0.38884,0.14693,0.28475,0.13366,0.16608,0.24923,0.11235,0.2894,0.13243,0.29204,NaN,0.30843,0.27775,0.35816,0.16776,0.37459
SYV,189,1330,1.31,1514.9,0.40602,0.21932,0.11193,0.44264,0.37487,0.146,0.27017,0.13761,0.16091,0.25106,0.11735,0.2824,0.15075,0.2825,NaN,0.29699,0.27713,0.34885,0.16725,0.37277
