Y,DOY,H,M,TIMESTAMP,RECORD,T1,T2,T3,T4,SBT1,SBT2,SBT3,SBT4,,,,,,,,,
2015,161,12,30,6/10/15 12:30,35,21.45269,58.3515,21.15513,21.17923,20.43,-33.82,21.21,21.55,,,,,,,,,
2015,161,12,35,6/10/15 12:35,36,21.97635,22.78629,21.20156,20.83465,20.47,21.12,21.31,21.47,,,,,,,,,
2015,161,12,40,6/10/15 12:40,37,21.81968,22.17604,21.28106,21.16128,20.68,21.42,21.62,21.22,,,,,,,,,
2015,161,12,45,6/10/15 12:45,38,21.87759,22.07926,21.49472,21.59523,20.92,21.38,21.64,21.77,,,,,,,,,
2015,161,12,50,6/10/15 12:50,39,21.58672,21.82357,21.14238,20.81216,20.86,21.4,21.74,21.89,,,,,,,,,
2015,161,12,55,6/10/15 12:55,40,23.02545,23.26275,21.93513,21.88177,20.94,21.5,21.88,22.08,,,,,,,,,
2015,161,13,0,6/10/15 13:00,41,22.47027,22.77128,21.64214,21.15955,21.29,22.09,22.43,22.15,,,,,,,,,
2015,161,13,5,6/10/15 13:05,42,22.14044,22.04524,21.46254,21.39457,21.17,21.75,22.22,22.19,,,,,,,,,
2015,161,13,10,6/10/15 13:10,43,22.33091,22.48324,21.81085,21.39199,21.11,21.74,22.21,22.24,,,,,,,,,
2015,161,13,15,6/10/15 13:15,44,22.03005,22.20829,21.25071,20.94995,21.18,21.94,22.36,22.11,,,,,,,,,
2015,161,13,20,6/10/15 13:20,45,22.09221,22.36735,21.3007,20.93975,20.92,21.71,22.19,21.91,,,,,,,,,
2015,161,13,25,6/10/15 13:25,46,22.01953,21.88501,21.14838,21.15448,20.84,21.63,22.04,21.93,,,,,,,,,
2015,161,13,30,6/10/15 13:30,47,21.24836,21.14237,20.64854,20.06544,20.67,21.18,21.63,21.87,,,,,,,,,
2015,161,13,35,6/10/15 13:35,48,22.26988,22.30631,21.3834,20.92743,20.7,21.32,21.72,21.48,,,,,,,,,
2015,161,13,40,6/10/15 13:40,49,21.81344,21.60038,21.09098,20.96306,20.86,21.44,21.83,21.71,,,,,,,,,
2015,161,13,45,6/10/15 13:45,50,22.29324,22.30623,21.52517,21.14475,20.85,21.53,21.86,21.87,,,,,,,,,
