TIMESTAMP,DecDOY,HH:MM,DOY,H,M,RECORD,C1,C2
7/26/16 16:35,208.6910,16:35,208,16,40,85607,0.2211451,NaN
7/26/16 16:40,208.6944,16:40,208,16,45,85608,0.2228223,NaN
7/26/16 16:45,208.6979,16:45,208,16,50,85609,0.2233134,NaN
7/26/16 16:50,208.7014,16:50,208,16,55,85610,0.2223144,NaN
7/26/16 16:55,208.7049,16:55,208,16,0,85611,0.2219276,NaN
7/26/16 17:00,208.7083,17:00,208,17,5,85612,0.2219657,NaN
7/26/16 17:05,208.7118,17:05,208,17,10,85613,0.2229418,NaN
7/26/16 17:10,208.7153,17:10,208,17,15,85614,0.2229465,NaN
7/26/16 17:15,208.7188,17:15,208,17,20,85615,0.2226878,0.1744772
7/26/16 17:20,208.7222,17:20,208,17,25,85616,0.2225776,0.1795362
7/26/16 17:25,208.7257,17:25,208,17,30,85617,0.2235999,0.1827703
7/26/16 17:30,208.7292,17:30,208,17,35,85618,0.2233145,0.1854307
7/26/16 17:35,208.7326,17:35,208,17,40,85619,0.2238016,0.1882787
7/26/16 17:40,208.7361,17:40,208,17,45,85620,0.2242126,0.1904547
7/26/16 17:45,208.7396,17:45,208,17,50,85621,0.2243026,0.1914271
7/26/16 17:50,208.7431,17:50,208,17,55,85622,0.2241896,0.1914792
7/26/16 17:55,208.7465,17:55,208,17,0,85623,0.2236781,0.1896599
7/26/16 18:00,208.7500,18:00,208,18,5,85624,0.223222,0.1849002
7/26/16 18:05,208.7535,18:05,208,18,10,85625,0.2230758,0.1805219
7/26/16 18:10,208.7569,18:10,208,18,15,85626,0.2223372,0.1786411
7/26/16 18:15,208.7604,18:15,208,18,20,85627,0.2218309,0.177511
7/26/16 18:20,208.7639,18:20,208,18,25,85628,0.2222894,0.1780632
7/26/16 18:25,208.7674,18:25,208,18,30,85629,0.2228139,0.1772084
7/26/16 18:30,208.7708,18:30,208,18,35,85630,0.2237019,0.1766509
7/26/16 18:35,208.7743,18:35,208,18,40,85631,0.2247453,0.1775452
7/26/16 18:40,208.7778,18:40,208,18,45,85632,0.2250879,0.1780863
7/26/16 18:45,208.7813,18:45,208,18,50,85633,0.2250829,0.1782854
7/26/16 18:50,208.7847,18:50,208,18,55,85634,0.225316,0.178954
7/26/16 18:55,208.7882,18:55,208,18,0,85635,0.2257097,0.1800314
7/26/16 19:00,208.7917,19:00,208,19,5,85636,0.2258368,0.1810799
7/26/16 19:05,208.7951,19:05,208,19,10,85637,0.2260478,0.181859
7/26/16 19:10,208.7986,19:10,208,19,15,85638,0.2263738,0.1837849
7/26/16 19:15,208.8021,19:15,208,19,20,85639,0.2265283,0.1851367
7/26/16 19:20,208.8056,19:20,208,19,25,85640,0.2267671,0.186578
