"","id","species","dbh","cc","ba","SWA","SWD"
"1",738,"acsa",56.6,"D",2516.07,1567.27522795472,10.921536
"2",81,"acsa",41.9,"C",1378.85,711.438922508651,6.3745506567513
"3",NA,"acsa",41.1,"D",1326.7,683.608045400986,6.24256487769044
"4",2501,"acsa",40.4,"D",1281.89,659.726637561612,6.1272988959655
"5",92,"acsa",37.6,"D",1110.36,568.58242708007,5.66785229910405
"6",NA,"acsa",36.2,"D",1029.22,525.631441091213,5.43914093486953
"7",NA,"acsa",35.3,"D",978.68,498.939898286353,5.2925671695277
"8",NA,"acsa",35.1,"C",967.62,493.106043309848,5.26006057269207
"9",819,"acsa",34.1,"C",913.27,464.468385372379,5.09767338388446
"10",595,"acsa",32.9,"C",850.12,431.27084802092,4.90340143122005
"11",564,"acsa",32.3,"C",819.4,415.148827075261,4.80640032739325
"12",2,"acsa",32.1,"C",809.28,409.845349093576,4.77418048823422
"13",NA,"acsa",31.9,"D",799.23,404.577110143831,4.74187693855012
"14",NA,"acsa",31.8,"D",794.23,401.956200492616,4.72571103189079
"15",743,"acsa",31.5,"C",779.31,394.146287594631,4.67744288725707
"16",98,"acsa",31,"D",754.77,381.305702478734,4.59690509767002
"17",27,"acsa",30.5,"C",730.62,368.684824128823,4.51651771561546
"18",88,"acsa",30.4,"C",725.83,366.186991342312,4.50055974136623
"19",90,"acsa",30.4,"C",725.83,366.186991342312,4.50055974136623
"20",44,"acsa",30.1,"C",711.58,358.746142484596,4.45233044994224
"21",NA,"acsa",30.1,"D",711.58,358.746142484596,4.45233044994224
"22",58,"acsa",29.9,"C",702.15,353.829430846768,4.42032885727772
"23",767,"acsa",29.9,"C",702.15,353.829430846768,4.42032885727772
"24",2098,"acsa",29.8,"C",697.46,351.384225179788,4.40431357453541
"25",764,"acsa",29.7,"C",692.79,348.947783542276,4.38823775681136
"26",710,"acsa",29.6,"C",688.13,346.520103872343,4.37225340724924
"27",77,"acsa",29.5,"C",683.49,344.101184101636,4.35620826596652
"28",NA,"acsa",29.2,"C",669.66,336.896963403438,4.30816567498356
"29",794,"acsa",28.9,"C",655.97,329.771506707779,4.26018680364764
"30",2503,"acsa",28.4,"C",633.47,318.070621821463,4.18027819895535
"31",67,"acsa",27.9,"C",611.36,306.588100552106,4.10053348816294
"32",NA,"acsa",27.5,"D",593.96,297.559123144441,4.03674055383488
"33",97,"acsa",27.3,"C",585.35,293.096932620702,4.0049432769416
"34",2504,"acsa",26.8,"C",564.1,282.093849716975,3.92553846272378
"35",57,"acsa",26.5,"C",551.55,275.596408123548,3.87776277420979
"36",NA,"acsa",26.5,"D",551.55,275.596408123548,3.87776277420979
"37",2095,"acsa",26,"C",530.93,264.941154419138,3.79853540581089
"38",39,"acsa",25.8,"C",522.79,260.73983439959,3.76691569934613
"39",35,"acsa",25.7,"C",518.75,258.652189640136,3.75100146480275
"40",51,"acsa",25.5,"C",510.7,254.502918830673,3.71948879464302
"41",737,"acsa",25.5,"C",510.7,254.502918830673,3.71948879464302
