ID,SPP,DBH,CC,BA,SWA,SWD,Multiplier
738,acsa,56.6,D,2516.07,1567.275228,10.921536,0.484721916
81,acsa,41.9,C,1378.85,711.4389225,6.374550657,0.619974048
NA,acsa,41.1,D,1326.7,683.6080454,6.242564878,0.626924052
2501,acsa,40.4,D,1281.89,659.7266376,6.127298896,0.633216875
92,acsa,37.6,D,1110.36,568.5824271,5.667852299,0.660597546
NA,acsa,36.2,D,1029.22,525.6314411,5.439140935,0.675778339
NA,acsa,35.3,D,978.68,498.9398983,5.29256717,0.686125935
NA,acsa,35.1,C,967.62,493.1060433,5.260060573,0.688490876
819,acsa,34.1,C,913.27,464.4683854,5.097673384,0.700707367
595,acsa,32.9,C,850.12,431.270848,4.903401431,0.716266748
564,acsa,32.3,C,819.4,415.1488271,4.806400327,0.72445189
2,acsa,32.1,C,809.28,409.8453491,4.774180488,0.727236191
NA,acsa,31.9,D,799.23,404.5771101,4.741876939,0.730060682
NA,acsa,31.8,D,794.23,401.9562005,4.725711032,0.731486842
743,acsa,31.5,C,779.31,394.1462876,4.677442887,0.735797961
98,acsa,31,D,754.77,381.3057025,4.596905098,0.743167477
27,acsa,30.5,C,730.62,368.6848241,4.516517716,0.750753355
88,acsa,30.4,C,725.83,366.1869913,4.500559741,0.752288111
90,acsa,30.4,C,725.83,366.1869913,4.500559741,0.752288111
44,acsa,30.1,C,711.58,358.7461425,4.45233045,0.756982852
NA,acsa,30.1,D,711.58,358.7461425,4.45233045,0.756982852
58,acsa,29.9,C,702.15,353.8294308,4.420328857,0.760148099
767,acsa,29.9,C,702.15,353.8294308,4.420328857,0.760148099
2098,acsa,29.8,C,697.46,351.3842252,4.404313575,0.761747114
764,acsa,29.7,C,692.79,348.9477835,4.388237757,0.763362051
710,acsa,29.6,,688.13,346.5201039,4.372253407,0.764978557
77,acsa,29.5,C,683.49,344.1011841,4.356208266,0.766611244
NA,acsa,29.2,C,669.66,336.8969634,4.308165675,0.771563521
794,acsa,28.9,C,655.97,329.7715067,4.260186804,0.776606198
2503,acsa,28.4,C,633.47,318.0706218,4.180278199,0.7852271
67,acsa,27.9,C,611.36,306.5881006,4.100533488,0.794119755
NA,acsa,27.5,D,593.96,297.5591231,4.036740554,0.801450885
97,acsa,27.3,C,585.35,293.0969326,4.004943277,0.805180359
2504,acsa,26.8,C,564.1,282.0938497,3.925538463,0.809758048
57,acsa,26.5,C,551.55,275.5964081,3.877762774,0.81239317
NA,acsa,26.5,D,551.55,275.5964081,3.877762774,0.81239317
2095,acsa,26,C,530.93,264.9411544,3.798535406,0.816898048
39,acsa,25.8,C,522.79,260.7398344,3.766915699,0.818744422
35,acsa,25.7,C,518.75,258.6521896,3.751001465,0.819683863
51,acsa,25.5,C,510.7,254.5029188,3.719488795,0.821567291
737,acsa,25.5,C,510.7,254.5029188,3.719488795,0.821567291
NA,acsa,25.4,C,506.71,252.441288,3.703538855,0.822530646
820,acsa,24.9,C,486.95,242.2630846,3.624676777,0.827411394
2096,acsa,24.9,C,486.95,242.2630846,3.624676777,0.827411394
2500,acsa,24.3,C,463.77,230.3348118,3.529977324,0.833532355
2091,acsa,23.9,C,448.63,222.5554577,3.466968549,0.837772755
87,acsa,23.9,C,448.63,222.5554577,3.466968549,0.837772755
784,acsa,23.9,C,448.63,222.5554577,3.466968549,0.837772755
NA,acsa,23.8,C,444.88,220.6321998,3.451310631,0.838848681
61,acsa,23.6,C,437.43,216.8115629,3.419958896,0.841029467
NA,acsa,23.6,C,437.43,216.8115629,3.419958896,0.841029467
749,acsa,23.3,I,426.38,211.1452669,3.372838574,0.844375153
401,acsa,23.2,C,422.73,209.2737337,3.357106259,0.845510852
2092,acsa,23.1,C,419.1,207.4108123,3.341296195,0.846661412
2915,acsa,23.1,C,419.1,207.4108123,3.341296195,0.846661412
728,acsa,23,C,415.48,205.5565001,3.325602053,0.847813897
45,acsa,22.9,C,411.87,203.7107944,3.310025246,0.84896812
783,acsa,22.9,C,411.87,203.7107944,3.310025246,0.84896812
756,acsa,22.8,C,408.28,201.8736927,3.294370865,0.850137514
NA,acsa,22.8,C,408.28,201.8736927,3.294370865,0.850137514
NA,acsa,22.7,C,404.71,200.0451923,3.278637868,0.851322427
65,acsa,22.6,C,401.15,198.2252905,3.263023222,0.852509213
NA,acsa,22.6,D,401.15,198.2252905,3.263023222,0.852509213
53,acsa,22.5,C,397.61,196.4139848,3.24732952,0.853711859
727,acsa,22.4,C,394.08,194.6112723,3.231755423,0.854916349
28,acsa,22.1,S,383.6,189.2546681,3.184754122,0.85861362
89,acsa,22,C,380.13,187.4863021,3.169262784,0.859854673
726,acsa,21.9,C,376.68,185.7265159,3.153691057,0.861112667
34,acsa,21.5,C,363.05,178.7731144,3.091200876,0.866273417
NA,acsa,21.5,C,363.05,178.7731144,3.091200876,0.866273417
2094,acsa,21.4,C,359.68,177.056186,3.07563022,0.867588659
NA,acsa,21.4,C,359.68,177.056186,3.07563022,0.867588659
70,acsa,21.3,C,356.33,175.3478209,3.059975923,0.86892249
705,acsa,20.9,C,343.07,168.5999363,2.997779323,0.874346486
706,acsa,20.9,C,343.07,168.5999363,2.997779323,0.874346486
707,acsa,20.9,I,343.07,168.5999363,2.997779323,0.874346486
100,acsa,20.8,C,339.79,166.934345,2.982337946,0.875724771
717,acsa,20.8,C,339.79,166.934345,2.982337946,0.875724771
93,acsa,20.7,C,336.53,165.2772998,2.966811425,0.877122978
775,acsa,20.6,C,333.29,163.628798,2.951198499,0.878541608
402,acsa,20.4,C,326.85,160.3574127,2.920145519,0.881404008
753,acsa,20.3,I,323.65,158.7345235,2.904706982,0.882847718
84,acsa,20.2,C,320.47,157.1201658,2.889180973,0.884312842
779,acsa,20.1,I,317.31,155.5143369,2.873566163,0.885799935
730,acsa,20,C,314.16,153.9170337,2.858084049,0.887289278
74,acsa,19.8,I,307.91,150.7479927,2.827075363,0.890315166
759,acsa,19.8,I,307.91,150.7479927,2.827075363,0.890315166
46,acsa,19.4,I,295.59,144.5120876,2.765331031,0.896519179
71,acsa,19,C ,283.53,138.4122562,2.703497111,0.902980119
49,acsa,18.8,C,277.59,135.4133063,2.672720801,0.906293953
762,acsa,18.8,C,277.59,135.4133063,2.672720801,0.906293953
NA,acsa,18.1,C,257.3,125.1841209,2.565107869,0.918424225
761,acsa,18,I,254.47,123.7566884,2.549622144,0.920242284
751,acsa,17.6,I,243.28,118.1315266,2.488420961,0.927622342
739,acsa,17.5,C,240.53,116.7463616,2.472931487,0.92953921
2493,acsa,17.2,C,232.35,112.641514,2.427121681,0.935334498
797,acsa,17.1,C,229.66,111.2901025,2.411731481,0.937323345
79,acsa,16.8,I,221.67,107.2864332,2.365975565,0.943368894
NA,acsa,16.1,I,203.58,98.23905076,2.259396069,0.95825747
72,acsa,16,I,201.06,96.98017381,2.244162475,0.960483353
55,acsa,15.7,I,193.59,93.25387228,2.198627744,0.967292384
734,acsa,15.5,I,188.69,90.81157526,2.168271186,0.971965373
709,acsa,15.3,,183.85,88.40276643,2.138029053,0.976731639
134,acsa,14.8,C,172.03,82.52705451,2.062425976,0.989155854
NA,acsa,14.7,I,169.72,81.37696282,2.047124755,0.991762957
2090,acsa,14.5,I,165.13,79.10179863,2.017061044,0.996981149
NA,acsa,14.5,I,165.13,79.10179863,2.017061044,0.996981149
95,acsa,14.3,S,160.61,76.85996663,1.986814345,1
50,acsa,14.2,I,158.37,75.7515401,1.971813695,1
2494,acsa,14.1,I,156.14,74.65143445,1.957001086,1
43,acsa,13.5,S,143.14,68.22530641,1.866752338,1
1543,acsa,13.1,I,134.78,64.10710661,1.807015744,1
80,acsa,13,I,132.73,63.09825274,1.79208196,1
731,acsa,13,I,132.73,63.09825274,1.79208196,1
