Site,ID,SPP,Sens,DBH,CC,BA,SWA,SWD,Heartwood Area,Heartwood R,Ring 1 R,Ring 2 R,Ring 3 R,Ring 4 R,Remainder R,RadialMult,Ring 1 A,Ring 2 A,Ring 3 A,Ring 4 A,Remainder A,SWA,AreaMult
WCR,2505,TIAM,1,35.8,C,1006.596852,395.9382957,3.95801952,610.6585562,13.94198048,2,1.95801952,0,0,0,0.789753868,212.371484,183.5668117,0,0,0,395.9382957,0.802959462
WCR,2506,TIAM,2,38.5,C,1164.155444,471.9409493,4.406182996,692.2144951,14.843817,2,2,0.406182996,0,0,0.738688161,229.33607,204.20335,38.40152929,0,0,471.9409493,0.755731393
WCR,621,OSVI,3,5.4,S,22.9021911,10.23787156,0.692219754,12.66431954,2.007780246,0.692219754,0,0,0,0,1,10.23787156,0,0,0,0,10.23787156,1
WCR,624,ACSA,4,14.1,S,156.144877,74.65143445,1.956848684,81.49344253,5.093151316,1.956848684,0,0,0,0,1,74.65143445,0,0,0,0,74.65143445,1
WCR,97,ACSA,5,27.5,C,593.9568594,297.5591231,4.036792014,296.3977362,9.713207986,2,2,0.036792014,0,0,0.782674046,160.22109,135.08837,2.249663144,0,0,297.5591231,0.801445149
WCR,98,ACSA,6,31.1,C,759.644316,383.856235,4.613036879,375.7880809,10.93696312,2,2,0.613036879,0,0,0.71713355,182.840538,157.707818,43.30787903,0,0,383.856235,0.741673419
WCR,625,OSVI,7,14.5,I,165.1298244,79.10179863,2.017066385,86.02802575,5.232933615,2,0.017066385,0,0,0,0.996404078,78.53975,0.562048625,0,0,0,79.10179863,0.996980212
WCR,2507,TIAM,8,7.4,S,43.0083671,8.794164866,0.399889696,34.21420223,3.300110304,0.399889696,0,0,0,0,1,8.794164866,0,0,0,0,8.794164866,1
WCR,123,FRPE,9,28.2,C,624.5795079,597.1299243,11.14407693,27.4495836,2.955923073,2,2,2,2,3.144076927,0.448056118,164.619316,139.486596,114.353876,89.221156,89.4489803,597.1299243,0.536607346
WCR,114,FRPE,10,31.4,C,774.3705191,737.9543533,12.29535092,36.41616576,3.404649082,2,2,2,2,4.295350918,0.430260232,184.725492,159.592772,134.460052,109.327332,149.8487053,737.9543533,0.51229381
WCR,2508,TIAM,11,7.1,S,39.59188798,7.95772473,0.376756327,31.63416324,3.173243673,0.376756327,0,0,0,0,1,7.95772473,0,0,0,0,7.95772473,1
WCR,134,ACSA,12,15,I,176.7144375,84.85227685,2.092536768,91.86216065,5.407463232,2,0.092536768,0,0,0,0.981205527,81.68134,3.170936847,0,0,0,84.85227685,0.984117714
WCR,631,ACSA,13,21.9,I,376.684495,185.7265159,3.153599297,190.9579791,7.796400703,2,1.153599297,0,0,0,0.844533292,125.035282,60.6912339,0,0,0,185.7265159,0.861119591
WCR,2926,OSVI,14,5.3,S,22.06181578,9.849306311,0.678359622,12.21250946,1.971640378,0.678359622,0,0,0,0,1,9.849306311,0,0,0,0,9.849306311,1
