"","x","y","rowSums(fia.transp[3:31], na.rm = TRUE)"
"1",141000,1486000,532596818.01963
"2",149000,1486000,242260975.247498
"3",141000,1478000,78709698.2335502
"4",149000,1478000,110766782.798191
"5",5000,1470000,537005824.293359
"6",141000,1470000,625452646.713016
"7",149000,1470000,235515033.34002
"8",5000,1462000,77121902.5970443
"9",13000,1462000,71161237.4670544
"10",37000,1462000,152583212.444147
"11",45000,1462000,462441426.177688
"12",141000,1462000,47568874.7109025
"13",13000,1454000,313700802.675226
"14",21000,1454000,569796835.316235
"15",29000,1454000,367296792.828326
"16",37000,1454000,190801099.973161
"17",53000,1454000,984809519.953087
"18",77000,1454000,108799071.098709
"19",85000,1454000,18678357.04736
"20",29000,1446000,393369221.960142
"21",85000,1446000,87286164.195879
"22",93000,1446000,99414949.3921324
"23",101000,1446000,125310659.833353
"24",109000,1446000,396167486.409869
"25",13000,1438000,46618340.4042675
"26",21000,1438000,278819941.658453
"27",29000,1438000,49007381.0210334
"28",45000,1438000,115520010.758077
"29",77000,1438000,362234822.5949
"30",117000,1438000,419192088.229293
"31",133000,1438000,193224313.540797
"32",149000,1438000,754526604.483979
"33",13000,1430000,361692817.654934
"34",21000,1430000,1348894.85427775
"35",29000,1430000,304654203.074194
"36",45000,1430000,47960382.4079177
"37",61000,1430000,274201748.838531
"38",77000,1430000,204096474.063015
"39",85000,1430000,357783464.29529
"40",117000,1430000,211017788.675332
"41",125000,1430000,202360367.533294
"42",141000,1430000,506618874.04169
"43",45000,1422000,191757022.216274
"44",69000,1422000,45342258.4170825
"45",109000,1422000,177926900.787545
"46",117000,1422000,224895370.146754
"47",125000,1422000,328809120.277493
"48",133000,1422000,459459138.225752
"49",149000,1422000,105940402.967718
"50",157000,1422000,42883433.040228
"51",165000,1422000,120776053.040379
"52",13000,1414000,13447999.0923699
"53",29000,1414000,184327311.901246
"54",37000,1414000,155333855.351101
"55",45000,1414000,230967540.000363
"56",93000,1414000,257983118.059983
"57",101000,1414000,688910156.194189
"58",109000,1414000,33537421.8656112
"59",117000,1414000,393571913.616621
"60",125000,1414000,546893907.523866
"61",133000,1414000,99701304.6311777
"62",141000,1414000,298341091.982641
"63",149000,1414000,587753996.416649
"64",157000,1414000,294355786.598839
"65",37000,1406000,567821218.946905
"66",45000,1406000,298570958.150656
"67",53000,1406000,93847796.320273
"68",69000,1406000,352487645.610681
"69",77000,1406000,595801085.031094
"70",85000,1406000,155159544.999733
"71",93000,1406000,472171791.656574
"72",101000,1406000,465015903.539551
"73",109000,1406000,419939426.281404
"74",117000,1406000,573113174.224547
"75",125000,1406000,80661715.5977062
"76",133000,1406000,83935310.2272189
"77",141000,1406000,107196953.99322
"78",149000,1406000,42883433.040228
"79",157000,1406000,469610629.570934
"80",165000,1406000,149168284.525933
"81",173000,1406000,270453715.23088
"82",189000,1406000,437098788.896662
"83",21000,1398000,257354765.67959
"84",29000,1398000,21824613.1246995
"85",37000,1398000,295466810.709792
"86",45000,1398000,434471489.290121
"87",53000,1398000,475675404.318444
"88",61000,1398000,439637585.719056
"89",85000,1398000,124469093.562711
"90",93000,1398000,442070537.191006
"91",101000,1398000,11299750.0253452
"92",109000,1398000,211219366.164682
"93",117000,1398000,249234695.410613
"94",125000,1398000,164304890.32311
"95",133000,1398000,279345947.726041
"96",141000,1398000,366449779.759407
"97",149000,1398000,17678301.777233
"98",157000,1398000,355519566.426802
"99",165000,1398000,288761705.353495
"100",173000,1398000,367282662.394309
"101",181000,1398000,20515520.9112954
"102",189000,1398000,405256679.149293
"103",197000,1398000,56278840.7042581
"104",205000,1398000,56019871.5123315
"105",213000,1398000,1151375274.61793
"106",37000,1390000,149250579.335226
"107",45000,1390000,650606082.866384
"108",53000,1390000,131888108.947311
"109",69000,1390000,336170794.458547
"110",77000,1390000,42883433.040228
"111",85000,1390000,99069636.3920024
"112",93000,1390000,214135043.530829
"113",101000,1390000,409773475.864891
"114",109000,1390000,322572405.40722
"115",117000,1390000,119300600.73524
"116",125000,1390000,419827597.642701
"117",133000,1390000,523356303.337231
"118",141000,1390000,22739793.8239278
"119",149000,1390000,373175880.589571
"120",157000,1390000,1004756990.96934
"121",165000,1390000,1760142220.26467
"122",189000,1390000,23306110.9076665
"123",197000,1390000,263600338.587815
"124",205000,1390000,492827060.653521
"125",213000,1390000,25942418.6043469
"126",13000,1382000,280995204.036737
"127",29000,1382000,493853062.774148
"128",69000,1382000,56629452.2408653
"129",77000,1382000,41687609.0683581
"130",93000,1382000,199339793.283903
"131",101000,1382000,468161161.242469
"132",109000,1382000,552126697.980002
"133",117000,1382000,328966518.850385
"134",133000,1382000,107093858.667998
"135",141000,1382000,54747016.6219698
"136",149000,1382000,538646738.844898
"137",157000,1382000,298520226.110678
"138",165000,1382000,707248762.922691
"139",173000,1382000,3622008.52526698
"140",181000,1382000,1088226046.72824
"141",189000,1382000,17186428.8406625
"142",197000,1382000,654179318.780783
"143",221000,1382000,190348350.214077
"144",229000,1382000,47501421.1139391
"145",245000,1382000,413697634.603391
"146",253000,1382000,85233578.0194354
"147",277000,1382000,59597058.8983878
"148",285000,1382000,254510060.485391
"149",-19000,1374000,105454427.481543
"150",5000,1374000,277272006.304798
"151",21000,1374000,44882537.9617851
"152",29000,1374000,46923898.1601365
"153",37000,1374000,465060798.516483
"154",53000,1374000,201908661.818176
"155",69000,1374000,86384878.9126844
"156",85000,1374000,267528003.692419
"157",101000,1374000,173495061.073576
"158",109000,1374000,31155583.4401839
"159",117000,1374000,574099551.455773
"160",125000,1374000,57020758.1822392
"161",133000,1374000,57572740.9807536
"162",141000,1374000,1121868595.68522
"163",149000,1374000,85843107.9600461
"164",173000,1374000,10602058.5214768
"165",181000,1374000,159245783.929164
"166",189000,1374000,52114695.5967521
"167",197000,1374000,570088219.601284
"168",205000,1374000,385215088.940585
"169",213000,1374000,135835515.904743
"170",221000,1374000,83753482.9330187
"171",237000,1374000,314285644.249919
"172",245000,1374000,40019254.3758052
"173",253000,1374000,131206372.428567
"174",261000,1374000,394139398.344864
"175",269000,1374000,349609291.280415
"176",277000,1374000,1033817196.40023
"177",285000,1374000,267167625.429155
"178",301000,1374000,394057485.523509
"179",29000,1366000,164154892.721828
"180",85000,1366000,226089661.562402
"181",101000,1366000,51132857.4169951
"182",109000,1366000,159037007.725173
"183",117000,1366000,124356725.91616
"184",125000,1366000,42581243.758276
"185",165000,1366000,11299750.0253452
"186",181000,1366000,9916555.74111261
"187",189000,1366000,14018920.5051466
"188",197000,1366000,94441340.7980783
"189",205000,1366000,408680376.962536
"190",213000,1366000,157845069.126865
"191",221000,1366000,364658201.272266
"192",229000,1366000,49007381.0210334
"193",237000,1366000,315143125.38127
"194",245000,1366000,7099319.45389911
"195",253000,1366000,288401860.715861
"196",261000,1366000,846749102.916042
"197",269000,1366000,208787697.038776
"198",277000,1366000,124677644.25519
"199",285000,1366000,200353009.976229
"200",293000,1366000,1224439879.49671
"201",301000,1366000,406114602.450042
"202",309000,1366000,365841774.157418
"203",29000,1358000,105291919.369419
"204",37000,1358000,282263852.091358
"205",93000,1358000,113846922.246973
"206",101000,1358000,563238478.493453
"207",109000,1358000,27627796.1564627
"208",117000,1358000,259182551.110698
"209",125000,1358000,77169116.9469248
"210",133000,1358000,92893693.1346452
"211",165000,1358000,350748317.773024
"212",181000,1358000,98856903.9500544
"213",189000,1358000,397872640.140154
"214",197000,1358000,84781102.2247602
"215",205000,1358000,79679349.4555749
"216",213000,1358000,116376959.184758
"217",221000,1358000,468367577.216763
"218",229000,1358000,581498780.248838
"219",237000,1358000,200588449.061857
"220",245000,1358000,22041545.1002687
"221",253000,1358000,723839500.999935
"222",261000,1358000,169257164.293156
"223",269000,1358000,628875874.756807
"224",277000,1358000,370085686.434795
"225",285000,1358000,434045947.934292
"226",293000,1358000,522277708.337123
"227",301000,1358000,929190628.729195
"228",309000,1358000,75535979.0932031
"229",317000,1358000,146479519.664947
"230",-19000,1350000,224228128.405587
"231",21000,1350000,325192068.786082
"232",29000,1350000,816666270.86897
"233",53000,1350000,1603709601.69405
"234",69000,1350000,281543388.960819
"235",93000,1350000,908966738.319808
"236",101000,1350000,170344573.062379
"237",109000,1350000,54224413.3861291
"238",117000,1350000,193391899.217928
"239",125000,1350000,152509442.977002
"240",133000,1350000,94646437.0568001
"241",165000,1350000,277916055.211852
"242",189000,1350000,155502291.565198
"243",197000,1350000,166748075.39853
"244",205000,1350000,78969532.2097088
"245",213000,1350000,187889516.742895
"246",221000,1350000,433011055.373973
"247",229000,1350000,249034747.63923
"248",237000,1350000,176682542.763866
"249",245000,1350000,308524273.22264
"250",253000,1350000,96401908.9013775
"251",261000,1350000,33247557.6659037
"252",269000,1350000,193849193.321077
"253",277000,1350000,186821669.908106
"254",285000,1350000,304911207.015904
"255",293000,1350000,226037554.036447
"256",301000,1350000,706376029.341673
"257",309000,1350000,431607985.068002
"258",317000,1350000,639433156.800697
"259",333000,1350000,613368388.647706
"260",21000,1342000,229081220.766015
"261",29000,1342000,528917849.169133
"262",77000,1342000,138913129.251169
"263",101000,1342000,704928902.449033
"264",109000,1342000,1175440517.18819
"265",117000,1342000,43724377.2204502
"266",133000,1342000,576804484.725401
"267",141000,1342000,1521320586.82267
"268",157000,1342000,197174914.513126
"269",165000,1342000,314488302.570067
