"","x","y","rowSums(pls.transp[3:31], na.rm = TRUE)"
"1",141000,1486000,25647556.9773935
"2",149000,1486000,198601636.565701
"3",141000,1478000,81825327.1496667
"4",149000,1478000,176961596.488109
"5",5000,1470000,0
"6",141000,1470000,69396220.7580196
"7",149000,1470000,75835811.1907907
"8",5000,1462000,7194763.04101577
"9",13000,1462000,26230709.4078446
"10",37000,1462000,3083216.00772227
"11",45000,1462000,15130617.22833
"12",141000,1462000,93544483.5500717
"13",13000,1454000,61637912.3900386
"14",21000,1454000,76476395.2963345
"15",29000,1454000,7028462.89438344
"16",37000,1454000,0
"17",53000,1454000,2954139.87574025
"18",77000,1454000,77302198.3621784
"19",85000,1454000,51987453.6257289
"20",29000,1446000,55164478.6022516
"21",85000,1446000,21518080.3246358
"22",93000,1446000,67384116.5796015
"23",101000,1446000,182199772.862276
"24",109000,1446000,63959390.341618
"25",13000,1438000,7374032.06257839
"26",21000,1438000,20140398.9064168
"27",29000,1438000,28460446.7462603
"28",45000,1438000,22874406.3424626
"29",77000,1438000,15910082.8237089
"30",117000,1438000,181887773.002297
"31",133000,1438000,272200526.030577
"32",149000,1438000,404706282.451937
"33",13000,1430000,3726075.74522064
"34",21000,1430000,10701162.8450862
"35",29000,1430000,43617605.6583621
"36",45000,1430000,2610462.49153312
"37",61000,1430000,3713699.37116215
"38",77000,1430000,6377237.98296175
"39",85000,1430000,44565375.7644014
"40",117000,1430000,57107287.4516658
"41",125000,1430000,208741061.373146
"42",141000,1430000,193901840.113709
"43",45000,1422000,17701918.67324
"44",69000,1422000,4027547.74596403
"45",109000,1422000,42072495.3604853
"46",117000,1422000,33788266.718112
"47",125000,1422000,132273776.864507
"48",133000,1422000,287259906.584975
"49",149000,1422000,134594249.481496
"50",157000,1422000,122100835.13686
"51",165000,1422000,36607919.0128523
"52",13000,1414000,406061.736256413
"53",29000,1414000,7937766.72415815
"54",37000,1414000,425597.805202998
"55",45000,1414000,14499027.3368954
"56",93000,1414000,218448566.041958
"57",101000,1414000,30648443.652964
"58",109000,1414000,45073807.0069259
"59",117000,1414000,31363942.8158829
