"","x","y","tdiff"
"1",141000,1486000,506949261.042237
"2",149000,1486000,43659338.6817971
"3",141000,1478000,-3115628.91611651
"4",149000,1478000,-66194813.689918
"5",5000,1470000,537005824.293359
"6",141000,1470000,556056425.954997
"7",149000,1470000,159679222.149229
"8",5000,1462000,69927139.5560285
"9",13000,1462000,44930528.0592098
"10",37000,1462000,149499996.436425
"11",45000,1462000,447310808.949358
"12",141000,1462000,-45975608.8391692
"13",13000,1454000,252062890.285187
"14",21000,1454000,493320440.019901
"15",29000,1454000,360268329.933942
"16",37000,1454000,190801099.973161
"17",53000,1454000,981855380.077347
"18",77000,1454000,31496872.7365308
"19",85000,1454000,-33309096.5783689
"20",29000,1446000,338204743.35789
"21",85000,1446000,65768083.8712431
"22",93000,1446000,32030832.8125309
"23",101000,1446000,-56889113.028923
"24",109000,1446000,332208096.068251
"25",13000,1438000,39244308.3416891
"26",21000,1438000,258679542.752036
"27",29000,1438000,20546934.2747732
"28",45000,1438000,92645604.4156146
"29",77000,1438000,346324739.771191
"30",117000,1438000,237304315.226996
"31",133000,1438000,-78976212.4897804
"32",149000,1438000,349820322.032042
"33",13000,1430000,357966741.909713
"34",21000,1430000,-9352267.9908085
"35",29000,1430000,261036597.415832
"36",45000,1430000,45349919.9163846
"37",61000,1430000,270488049.467369
"38",77000,1430000,197719236.080053
"39",85000,1430000,313218088.530888
"40",117000,1430000,153910501.223666
"41",125000,1430000,-6380693.83985236
"42",141000,1430000,312717033.927982
"43",45000,1422000,174055103.543034
"44",69000,1422000,41314710.6711185
"45",109000,1422000,135854405.427059
"46",117000,1422000,191107103.428642
"47",125000,1422000,196535343.412986
"48",133000,1422000,172199231.640778
"49",149000,1422000,-28653846.513778
"50",157000,1422000,-79217402.0966324
"51",165000,1422000,84168134.0275267
"52",13000,1414000,13041937.3561135
"53",29000,1414000,176389545.177088
"54",37000,1414000,154908257.545898
"55",45000,1414000,216468512.663467
"56",93000,1414000,39534552.0180252
"57",101000,1414000,658261712.541225
"58",109000,1414000,-11536385.1413147
"59",117000,1414000,362207970.800738
"60",125000,1414000,508801551.913193
"61",133000,1414000,37852690.578538
"62",141000,1414000,235616182.948369
"63",149000,1414000,501597706.920053
"64",157000,1414000,112297512.11358
"65",37000,1406000,561436363.127476
"66",45000,1406000,270638722.400064
"67",53000,1406000,53924519.786001
"68",69000,1406000,198010469.633827
"69",77000,1406000,448379202.53204
"70",85000,1406000,-75218510.6121989
"71",93000,1406000,302346626.817667
"72",101000,1406000,366600544.921208
"73",109000,1406000,301216177.506454
"74",117000,1406000,512292554.707436
"75",125000,1406000,-90425732.9384384
"76",133000,1406000,-69353524.9808763
"77",141000,1406000,23779127.3125461
"78",149000,1406000,-46520597.9464445
"79",157000,1406000,313633388.391388
"80",165000,1406000,-243500186.492972
"81",173000,1406000,117738829.460774
"82",189000,1406000,349960317.338083
"83",21000,1398000,197046686.122492
"84",29000,1398000,2572085.11151567
"85",37000,1398000,207728993.333873
"86",45000,1398000,385719234.320194
"87",53000,1398000,429946917.449366
"88",61000,1398000,396824879.917093
"89",85000,1398000,-25724916.6129865
"90",93000,1398000,328979091.716547
"91",101000,1398000,-82607301.3998499
"92",109000,1398000,149714916.694517
"93",117000,1398000,145412592.074498
"94",125000,1398000,38185375.3002622
"95",133000,1398000,155883956.448788
"96",141000,1398000,223975421.000663
"97",149000,1398000,-83347846.3453737
"98",157000,1398000,211119247.787705
"99",165000,1398000,42427867.2437296
"100",173000,1398000,264843691.49176
"101",181000,1398000,-62090032.5236332
"102",189000,1398000,336151460.927056
"103",197000,1398000,-135773454.645361
"104",205000,1398000,-125599679.588955
"105",213000,1398000,-117789262.250363
"106",37000,1390000,115650530.892589
"107",45000,1390000,573232267.270353
"108",53000,1390000,86967041.394069
"109",69000,1390000,324318213.347616
"110",77000,1390000,4511864.85071339
"111",85000,1390000,-7754242.46814927
"112",93000,1390000,138148070.824669
"113",101000,1390000,352766310.208224
"114",109000,1390000,202058887.317189
"115",117000,1390000,25372309.0257987
"116",125000,1390000,355496825.201941
"117",133000,1390000,439144915.808796
"118",141000,1390000,-98838143.513794
"119",149000,1390000,300855140.078476
