"","Site","ID","SPP","Sens","DBH","CC","BA","SWA","SWD","Multiplier","flux.mean","flow.mean","flow.time","colvec","ba.norm"
"S18","SYV",323,"ACSA",18,7,"S",38.4844775,17.5189283670255,0.916679037517413,1,1.26687648774218e-05,1.95318027754611,8.7533885286202e-05,"orange",0.0507524177129885
"S16","SYV",282,"ACSA",16,17.5,"C",240.527984375,116.746361636617,2.47298259313738,0.929533089,1.27489436219695e-05,11.8915395793766,0.00079919733573433,"orange",0.0494393182991833
"S15","SYV",601,"ACSA",15,21.3,"S",356.326991775,175.347820897356,3.0600390025587,0.868917448,8.44263131748526e-06,11.0654950212731,0.000696033774688305,"orange",0.0310543272799841
"S14","SYV",2754,"ACSA",14,23.5,"I/C",433.735769375,214.914178916357,3.40415466313133,0.842141784,5.06948568118418e-06,7.99333497411113,0.000402679560487518,"orange",0.0184290426072751
"S17","SYV",7,"ACSA",17,28,"C/I",615.75164,308.86714867682,4.11645559451585,0.792320359,8.50927463219466e-06,18.0547552767171,0.000990330800710919,"orange",0.0293214895484762
"S9","SYV",262,"ACSA",9,35.5,"C",989.797199375,504.809227483445,5.32516211254082,0.683780971,5.4829601693706e-06,15.9997559343798,0.000951786447968766,"orange",0.0161646809512926
"S13","SYV",115,"ACSA",13,83.5,"D",5475.987719375,1879.19641526407,7.9137,0.542336839,3.58326038289847e-06,31.6894519063762,0.00232102942852066,"orange",0.0057869837425408
"S7","SYV",225,"BEAL",7,55.5,"D",2419.220649375,1239.11031172288,8.36853708945512,0.53885951,1.26460892403294e-05,72.2185147445244,0.00417423557433576,"blue",0.0298519751653004
"S12","SYV",41,"BEAL",12,72,"D",4071.50064,1333.70377582975,6.47935393108136,0.601258428,6.96434805637768e-06,48.271786354582,0.00315088855467503,"blue",0.0118560183634362
"S6","SYV",222,"OSVI",6,13.5,"S",143.138694375,68.2253064061778,1.86679489068988,1,2.80260023367118e-06,1.660472603429,0.000101358839229256,"dark red",0.0116004453630046
"S5","SYV",2727,"OSVI",5,18,"S/I",254.46879,123.756688400911,2.54965199956076,0.920238908,1.086329497764e-05,10.7255528088946,0.000582535195466047,"dark red",0.0421487947849896
"S3","SYV",43,"TSCA",3,13.5,"S",143.138694375,150.536047436383,NA,NA,1.73328735018719e-06,2.27545168419053,0.000116850755140198,"forest green",0.015896831350363
"S8","SYV",223,"TSCA",8,19.5,"I",298.647399375,249.132659116475,5.7799817822967,0.693414455,1.60931198844445e-06,2.38547391457729,0.000131282702516812,"forest green",0.00798759312677605
"S4","SYV",24,"TSCA",4,20,"C",314.159,257.925534958297,5.76919830571555,0.691469703,1.08694339709469e-05,16.6664368554911,0.000940410084451325,"forest green",0.053050960995837
"S19","SYV",1573,"TSCA",19,21.5,"I",363.049994375,284.789475665429,5.75889612964737,0.685627236,2.37836060856426e-06,4.06879198328126,0.000104633963616493,"forest green",0.0112072498177167
"S11","SYV",42,"TSCA",11,27,"I/C",572.5547775,389.091374034778,5.85812428766279,0.665051219,3.03684305523754e-06,6.84882968947581,0.000319935807551121,"forest green",0.0119618767646661
"S10","SYV",277,"TSCA",10,29,"I",660.5192975,429.109869149172,5.91746127197063,0.658102412,5.7248428989676e-06,13.9256582236488,0.000910833574939111,"forest green",0.0210828938327102
"S20","SYV",38,"TSCA",20,33,"C",855.2978775,512.209163208674,6.04970709302406,0.645153253,8.996512970042e-06,25.4717165452984,0.00151230019968846,"forest green",0.0297811057590266
"S2","SYV",39,"TSCA",2,36.5,"C",1046.345819375,588.063832868224,6.17209413097291,0.634816322,7.50579992076748e-06,24.4633650517185,0.0014842120703426,"forest green",0.0233798086624276
"S1","SYV",40,"TSCA",1,60.5,"D/C",2874.751199375,1039.469193024,6.08,0.624807748,9.48459939961398e-06,53.8208352370059,0.00290294321173137,"forest green",0.0187219106991614
